payment_id,order_id,payment_type,installments,payment_value
PAY000055,O000055,digital_wallet,1,962.42
PAY000056,O000056,credit_card,1,31.42
PAY000057,O000057,credit_card,2,983.17
PAY000058,O000058,bank_transfer,1,6624.53
PAY000059,O000059,credit_card,3,211.65
PAY000060,O000060,bank_transfer,1,1277.56
PAY000061,O000061,debit_card,1,814.68
PAY000062,O000062,credit_card,1,2242.72
PAY000063,O000063,credit_card,2,1434.39
PAY000064,O000064,debit_card,1,2242.74
PAY000065,O000065,digital_wallet,1,43.14
PAY000066,O000066,digital_wallet,1,252.5
PAY000067,O000067,debit_card,1,2044.48
PAY000068,O000068,credit_card,12,1334.51
PAY000069,O000069,digital_wallet,1,1030.18
PAY000070,O000070,bank_transfer,1,1314.68
PAY000071,O000071,credit_card,6,1212.62
PAY000072,O000072,digital_wallet,1,1176.11
PAY000073,O000073,credit_card,1,663.62
PAY000074,O000074,credit_card,1,334.4
PAY000075,O000075,credit_card,6,429.39
PAY000076,O000076,debit_card,1,2893.03
PAY000077,O000077,credit_card,2,3659.98
PAY000078,O000078,credit_card,1,1129.64
PAY000079,O000079,credit_card,2,933.57
PAY000080,O000080,credit_card,6,488.57
PAY000081,O000081,debit_card,1,1684.55
PAY000082,O000082,credit_card,2,324.33
PAY000083,O000083,bank_transfer,1,576.67
PAY000084,O000084,digital_wallet,1,176.73
PAY000085,O000085,credit_card,1,58.94
PAY000086,O000086,credit_card,1,958.17
PAY000087,O000087,credit_card,2,1397.33
PAY000088,O000088,credit_card,12,221.4
PAY000089,O000089,digital_wallet,1,1382.11
PAY000090,O000090,credit_card,6,2539.26
PAY000091,O000091,credit_card,2,364.97
PAY000092,O000092,digital_wallet,1,709.12
PAY000093,O000093,debit_card,1,1651.26
PAY000094,O000094,credit_card,1,980.13
PAY000095,O000095,credit_card,1,436.12
PAY000096,O000096,debit_card,1,380.54
PAY000097,O000097,debit_card,1,6187.95
PAY000098,O000098,credit_card,2,334.79
PAY000099,O000099,credit_card,1,1457.22
PAY000100,O000100,digital_wallet,1,36.83
PAY000101,O000101,debit_card,1,500.99
PAY000102,O000102,credit_card,6,491.14
PAY000103,O000103,credit_card,3,628.32
PAY000104,O000104,credit_card,2,261.02
PAY000105,O000105,credit_card,2,404.77
PAY000106,O000106,debit_card,1,809.43
PAY000107,O000107,digital_wallet,1,26.32
PAY000108,O000108,credit_card,1,169.73
PAY000109,O000109,credit_card,12,615.52
PAY000110,O000110,credit_card,2,732.53
PAY000111,O000111,digital_wallet,1,183.62
PAY000112,O000112,bank_transfer,1,541.74
PAY000113,O000113,debit_card,1,940.24
PAY000114,O000114,credit_card,1,471.66
PAY000115,O000115,digital_wallet,1,5832.83
PAY000116,O000116,debit_card,1,1265.23
PAY000117,O000117,credit_card,3,196.55
PAY000118,O000118,credit_card,3,876.7
PAY000119,O000119,credit_card,2,1084.15
PAY000120,O000120,credit_card,6,851.71
PAY000121,O000121,digital_wallet,24,224.72
PAY000122,O000122,credit_card,6,779.78
PAY000123,O000123,credit_card,1,524.17
PAY000124,O000124,debit_card,1,1402.25
PAY000125,O000125,bank_transfer,1,1060.44
PAY000126,O000126,credit_card,3,4076.28
PAY000127,O000127,credit_card,2,140.03
PAY000128,O000128,bank_transfer,1,1969.66
PAY000129,O000129,credit_card,3,6689.03
PAY000130,O000130,bank_transfer,1,1243.94
PAY000131,O000131,debit_card,1,2622.48
PAY000132,O000132,credit_card,3,495.39
PAY000133,O000133,credit_card,2,4410.64
PAY000134,O000134,bank_transfer,1,3852.74
PAY000135,O000135, credit_card ,2,749.04
PAY000136,O000136,credit_card,12,1455.89
PAY000137,O000137,bank_transfer,1,1020.78
PAY000138,O000138,debit_card,1,52.67
PAY000139,O000139,debit_card,1,771.71
PAY000140,O000140,debit_card,1,1618.76
PAY000141,O000141,credit_card,1,506.4
PAY000142,O000142,credit_card,6,102.96
PAY000143,O000143,credit_card,2,1840.17
PAY000144,O000144,digital_wallet,1,160.51
PAY000145,O000145,bank_transfer,1,466.81
PAY000146,O000146,credit_card,2,1033.79
PAY000147,O000147,credit_card,1,705.4
PAY000148,O000148,credit_card,6,2028.44
PAY000149,O000149,debit_card,1,5307.8
PAY000150,O000150,credit_card,12,1410.91
PAY000151,O000151,debit_card,1,100.36
PAY000152,O000152,bank_transfer,1,798.7
PAY000153,O000153,debit_card,1,2561.01
PAY000154,O000154,credit_card,3,287.26
PAY000155,O000155,bank_transfer,1,1775.33
PAY000156,O000156,debit_card,1,1614.44
PAY000157,O000157,debit_card,1,763.89
PAY000158,O000158,debit_card,1,1041.05
PAY000159,O000159,debit_card,1,1352.25
PAY000160,O000160,credit_card,2,681.45
PAY000161,O000161,credit_card,1,687.21
PAY000162,O000162,bank_transfer,1,600.11
PAY000163,O000163,credit_card,12,313.62
PAY000164,O000164,bank_transfer,1,170.77
PAY000165,O000165,digital_wallet,1,29.7
PAY000166,O000166,debit_card,1,2245.28
PAY000167,O000167,debit_card,1,975.8
PAY000168,O000168,credit_card,3,331.95
PAY000169,O000169,credit_card,1,59.68
PAY000170,O000170,debit_card,1,90.16
PAY000171,O000171,credit_card,1,390.32
PAY000172,O000172,credit_card,2,378.76
PAY000173,O000173,digital_wallet,1,132.74
PAY000174,O000174,debit_card,1,1449.08
PAY000175,O000175,credit_card,3,854.76
PAY000176,O000176,credit_card,1,1277.67
PAY000177,O000177,bank_transfer,1,1272.87
PAY000178,O000178,credit_card,1,687.84
PAY000179,O000179,bank_transfer,1,1300.3
PAY000180,O000180,debit_card,1,2636.61
PAY000181,O000181,digital_wallet,1,1790.91
PAY000182,O000182,credit_card,3,712.19
PAY000183,O000183,debit_card,1,2220.92
PAY000184,O000184,credit_card,1,834.4
PAY000185,O000185,debit_card,1,690.77
PAY000186,O000186,credit_card,3,311.97
PAY000187,O000187,credit_card,1,130.72
PAY000188,O000188,credit_card,3,1094.64
PAY000189,O000189,credit_card,2,523.33
PAY000190,O000190,credit_card,6,399.7
PAY000191,O000191,credit_card,1,394.75
PAY000192,O000192,credit_card,6,448.55
PAY000193,O000193,credit_card,1,813.48
PAY000194,O000194,credit_card,12,1354.62
PAY000195,O000195,credit_card,2,3793.11
PAY000196,O000196,debit_card,1,1381.68
PAY000197,O000197,credit_card,3,1149.21
PAY000198,O000198,credit_card,1,628.18
PAY000199,O000199,credit_card,6,543.61
PAY000200,O000200,digital_wallet,1,88.45
PAY000201,O000201,debit_card,1,2322.54
PAY000202,O000202,debit_card,1,232.98
PAY000203,O000203,credit_card,3,2196.38
PAY000204,O000204,bank_transfer,1,1401.88
PAY000205,O000205,bank_transfer,1,2697.76
PAY000206,O000206,credit_card,6,562.59
PAY000207,O000207,credit_card,2,29.71
PAY000208,O000208,bank_transfer,1,446.73
PAY000209,O000209,credit_card,2,2492.41
PAY000210,O000210,credit_card,1,207.22
PAY000211,O000211,credit_card,1,1979.3
PAY000212,O000212,debit_card,1,61.84
PAY000213,O000213,bank_transfer,1,875.15
PAY000214,O000214,credit_card,6,496.94
PAY000215,O000215,credit_card,1,2388.13
PAY000216,O000216,credit_card,1,239.22
PAY000217,O000217,credit_card,1,850.69
PAY000218,O000218,digital_wallet,1,1099.29
PAY000219,O000219,credit_card,1,1660.63
PAY000220,O000220,debit_card,1,316.01
PAY000221,O000221,credit_card,6,100.86
PAY000222,O000222,credit_card,3,389.13
PAY000223,O000223,credit_card,1,994.27
PAY000224,O000224,credit_card,1,1256.21
PAY000225,O000225,credit_card,12,102.39
PAY000226,O000226,bank_transfer,1,1451.89
PAY000227,O000227,credit_card,6,74.07
PAY000228,O000228, credit_card ,2,356.71
PAY000229,O000229,debit_card,1,848.42
PAY000230,O000230, debit_card ,1,2119.94
PAY000231,O000231,credit_card,1,760.65
PAY000232,O000232,credit_card,1,1394.39
PAY000233,O000233,digital_wallet,1,2124.13
PAY000234,O000234,credit_card,3,2253.98
PAY000235,O000235,digital_wallet,1,265.15
PAY000236,O000236,bank_transfer,1,974.01
PAY000237,O000237,debit_card,1,840.14
PAY000238,O000238,debit_card,1,657.14
PAY000239,O000239,credit_card,2,747.27
PAY000240,O000240,credit_card,3,9958.79
PAY000241,O000241,debit_card,1,748.68
PAY000242,O000242,debit_card,1,504.93
PAY000243,O000243,debit_card,1,109.9
PAY000244,O000244,credit_card,2,388.79
PAY000245,O000245,credit_card,3,987.23
PAY000246,O000246,digital_wallet,1,406.88
PAY000247,O000247,credit_card,3,2777.8
PAY000248,O000248,bank_transfer,1,462.01
PAY000249,O000249,credit_card,1,237.18
PAY000250,O000250,DEBIT_CARD,1,1592.78
PAY000251,O000251,credit_card,2,1388.47
PAY000252,O000252,credit_card,2,1003.44
PAY000253,O000253,debit_card,1,520.78
PAY000254,O000254,bank_transfer,1,313.52
PAY000255,O000255,credit_card,1,2143.42
PAY000256,O000256,debit_card,1,901.22
PAY000257,O000257,debit_card,1,1453.12
PAY000258,O000258,bank_transfer,1,2466.69
PAY000259,O000259,credit_card,1,245.32
PAY000260,O000260,credit_card,3,140.76
PAY000261,O000261,bank_transfer,1,1496.68
PAY000262,O000262,credit_card,3,796.22
PAY000263,O000263,digital_wallet,1,978.84
PAY000264,O000264,credit_card,1,704.62
PAY000265,O000265,debit_card,1,182.98
PAY000266,O000266,credit_card,6,3215.28
PAY000267,O000267,debit_card,1,847.29
PAY000268,O000268,credit_card,3,414.76
PAY000269,O000269,debit_card,1,314.04
PAY000270,O000270,bank_transfer,1,1012.45
PAY000271,O000271,digital_wallet,1,767.33
PAY000272,O000272,credit_card,1,84.64
PAY000273,O000273,bank_transfer,1,531.42
PAY000274,O000274,debit_card,1,583.1
PAY000275,O000275,digital_wallet,1,1406.22
PAY000276,O000276,digital_wallet,1,1529.06
PAY000277,O000277,bank_transfer,1,1283.59
PAY000278,O000278,credit_card,2,382.25
PAY000279,O000279,debit_card,1,119.91
PAY000280,O000280,debit_card,1,4534.21
PAY000281,O000281,bank_transfer,1,124.19
PAY000282,O000282,credit_card,3,1809.33
PAY000283,O000283,bank_transfer,1,950.8
PAY000284,O000284,digital_wallet,1,1631.25
PAY000285,O000285,bank_transfer,1,184.47
PAY000286,O000286,credit_card,3,2764.08
PAY000287,O000287,debit_card,1,574.89
PAY000288,O000288,debit_card,1,1794.24
PAY000289,O000289,credit_card,3,785.7
PAY000290,O000290,credit_card,1,1550.91
PAY000291,O000291,credit_card,3,437.21
PAY000292,O000292,debit_card,1,466.37
PAY000293,O000293,bank_transfer,1,288.64
PAY000294,O000294,debit_card,1,667.77
PAY000295,O000295,bank_transfer,1,295.93
PAY000296,O000296,bank_transfer,1,211.03
PAY000297,O000297,credit_card,2,774.13
PAY000298,O000298,bank_transfer,1,2710.37
PAY000299,O000299,credit_card,1,447.37
PAY000300,O000300,credit_card,1,141.94
PAY000301,O000301,credit_card,2,1111.98
PAY000302,O000302,credit_card,2,2266.04
PAY000303,O000303,credit_card,6,782.61
PAY000304,O000304,digital_wallet,1,2083.68
PAY000305,O000305,digital_wallet,1,1866.01
PAY000306,O000306,debit_card,1,828.68
PAY000307,O000307,debit_card,1,1092.36
PAY000308,O000308,credit_card,3,261.87
PAY000309,O000309,bank_transfer,1,1407.2
PAY000310,O000310,bank_transfer,1,160.87
PAY000311,O000311,digital_wallet,1,412.11
PAY000312,O000312,credit_card,1,892.56
PAY000313,O000313,debit_card,1,1631.1
PAY000314,O000314,debit_card,1,1002.93
PAY000315,O000315,credit_card,2,62.32
PAY000316,O000316,bank_transfer,1,1467.61
PAY000317,O000317,debit_card,1,1246.07
PAY000318,O000318,debit_card,1,936.17
PAY000319,O000319,digital_wallet,1,650.35
PAY000320,O000320,credit_card,3,1492.41
PAY000321,O000321,debit_card,1,1889.03
PAY000322,O000322,digital_wallet,1,35.86
PAY000323,O000323,digital_wallet,1,614.93
PAY000324,O000324,debit_card,1,503.08
PAY000325,O000325,credit_card,12,2388.12
PAY000326,O000326,debit_card,1,662.6
PAY000327,O000327,credit_card,1,135.14
PAY000328,O000328,digital_wallet,1,1389.33
PAY000329,O000329,bank_transfer,1,2398.46
PAY000330,O000330,debit_card,1,167.28
PAY000331,O000331,debit_card,1,26.87
PAY000332,O000332,credit_card,12,1114.24
PAY000333,O000333,credit_card,1,690.67
PAY000334,O000334,bank_transfer,1,1948.74
PAY000335,O000335,credit_card,1,1566.68
PAY000336,O000336,credit_card,1,1197.34
PAY000337,O000337,debit_card,1,707.99
PAY000338,O000338,credit_card,6,3581.97
PAY000339,O000339,credit_card,6,358.83
PAY000340,O000340,credit_card,1,326.14
PAY000341,O000341,credit_card,1,15.57
PAY000342,O000342,debit_card,1,1156.87
PAY000343,O000343,credit_card,3,1659.28
PAY000344,O000344,credit_card,2,843.2
PAY000345,O000345,credit_card,12,754.79
PAY000346,O000346,digital_wallet,1,1138.37
PAY000347,O000347,credit_card,3,558.12
PAY000348,O000348,credit_card,1,583.46
PAY000349,O000349,bank_transfer,1,70.22
PAY000350,O000350,bank_transfer,1,1748.08
PAY000351,O000351,digital_wallet,1,1492.0
PAY000352,O000352,credit_card,3,87.31
PAY000353,O000353,credit_card,2,371.78
PAY000354,O000354,digital_wallet,1,91.67
PAY000355,O000355,credit_card,1,1615.84
PAY000356,O000356,bank_transfer,1,1760.08
PAY000357,O000357,credit_card,1,1657.98
PAY000358,O000358,credit_card,1,1319.01
PAY000359,O000359,credit_card,12,874.07
PAY000360,O000360,credit_card,2,715.64
PAY000361,O000361,credit_card,1,767.28
PAY000362,O000362,credit_card,1,464.18
PAY000363,O000363,digital_wallet,1,285.99
PAY000364,O000364,debit_card,1,1613.27
PAY000365,O000365,credit_card,1,566.92
PAY000366,O000366,credit_card,1,793.68
PAY000367,O000367,digital_wallet,1,78.66
PAY000368,O000368,debit_card,1,2654.2
PAY000369,O000369,credit_card,2,667.58
PAY000370,O000370,credit_card,1,2219.68
PAY000371,O000371,debit_card,1,3895.8
PAY000372,O000372,debit_card,1,332.82
PAY000373,O000373,credit_card,2,344.17
PAY000374,O000374,debit_card,1,319.69
PAY000375,O000375,credit_card,1,357.42
PAY000376,O000376,digital_wallet,1,147.35
PAY000377,O000377,credit_card,1,529.66
PAY000378,O000378,credit_card,1,1959.85
PAY000379,O000379,credit_card,1,5347.49
PAY000380,O000380,credit_card,6,359.08
PAY000381,O000381,digital_wallet,1,954.52
PAY000382,O000382,credit_card,2,797.64
PAY000383,O000383,credit_card,6,327.22
PAY000384,O000384,digital_wallet,1,170.95
PAY000385,O000385,bank_transfer,1,686.06
PAY000386,O000386,credit_card,1,718.76
PAY000387,O000387,credit_card,3,1303.23
PAY000388,O000388,debit_card,1,679.85
PAY000389,O000389,credit_card,3,877.14
PAY000390,O000390,credit_card,6,202.78
PAY000391,O000391,credit_card,6,509.68
PAY000392,O000392,credit_card,1,839.75
PAY000393,O000393,digital_wallet,1,630.56
PAY000394,O000394,debit_card,1,66.42
PAY000395,O000395,credit_card,1,1144.18
PAY000396,O000396,credit_card,12,799.18
PAY000397,O000397,digital_wallet,1,247.32
PAY000398,O000398,credit_card,1,4738.74
PAY000399,O000399,credit_card,2,252.27
PAY000400,O000400,debit_card,1,1895.0
PAY000401,O000401,bank_transfer,1,1121.64
PAY000402,O000402,credit_card,12,136.32
PAY000403,O000403,debit_card,1,640.55
PAY000404,O000404,debit_card,1,25467.04
PAY000405,O000405,digital_wallet,1,2635.11
PAY000406,O000406,credit_card,2,930.22
PAY000407,O000407,credit_card,3,4736.12
PAY000408,O000408,credit_card,2,576.98
PAY000409,O000409,credit_card,3,1093.65
PAY000410,O000410,digital_wallet,1,1563.21
PAY000411,O000411,digital_wallet,1,220.81
PAY000412,O000412,digital_wallet,1,263.78
PAY000413,O000413,credit_card,3,1350.74
PAY000414,O000414,digital_wallet,1,1103.89
PAY000415,O000415,debit_card,1,2650.07
PAY000416,O000416,digital_wallet,1,753.25
PAY000417,O000417,debit_card,1,759.11
PAY000418,O000418,digital_wallet,1,447.2
PAY000419,O000419,debit_card,1,949.01
PAY000420,O000420,credit_card,3,3954.51
PAY000421,O000421,debit_card,1,1049.97
PAY000422,O000422,credit_card,12,31.9
PAY000423,O000423,credit_card,3,560.02
PAY000424,O000424,digital_wallet,1,1318.17
PAY000425,O000425,bank_transfer,1,969.66
PAY000426,O000426,debit_card,1,2140.22
PAY000427,O000427,digital_wallet,1,1213.32
PAY000428,O000428,credit_card,3,25.14
PAY000429,O000429,credit_card,2,863.62
PAY000430,O000430,debit_card,1,1639.28
PAY000431,O000431,credit_card,1,1613.13
PAY000432,O000432,credit_card,3,780.31
PAY000433,O000433,credit_card,1,1887.69
PAY000434,O000434,credit_card,6,1310.6
PAY000435,O000435,credit_card,1,292.14
PAY000436,O000436,credit_card,1,389.29
PAY000437,O000437,credit_card,2,3225.3
PAY000438,O000438, digital_wallet ,1,328.47
PAY000439,O000439,credit_card,3,1238.45
PAY000440,O000440,debit_card,1,581.39
PAY000441,O000441,bank_transfer,1,252.61
PAY000442,O000442,credit_card,1,1638.73
PAY000443,O000443,debit_card,1,1299.87
PAY000444,O000444,debit_card,1,444.22
PAY000445,O000445,credit_card,6,942.7
PAY000446,O000446,digital_wallet,1,51.02
PAY000447,O000447,debit_card,1,633.06
PAY000448,O000448,bank_transfer,1,559.53
PAY000449,O000449,bank_transfer,1,2192.82
PAY000450,O000450,debit_card,1,641.87
PAY000451,O000451,debit_card,1,713.94
PAY000452,O000452,credit_card,1,1789.76
PAY000453,O000453,credit_card,2,563.81
PAY000454,O000454,credit_card,6,930.05
PAY000455,O000455,credit_card,3,1146.73
PAY000456,O000456,debit_card,1,884.08
PAY000457,O000457,debit_card,1,1157.69
PAY000458,O000458,credit_card,3,87.15
PAY000459,O000459,credit_card,2,662.33
PAY000460,O000460,credit_card,2,14.07
PAY000461,O000461,credit_card,1,3584.42
PAY000462,O000462,debit_card,1,1285.56
PAY000463,O000463,credit_card,6,1843.75
PAY000464,O000464,credit_card,6,855.23
PAY000465,O000465,credit_card,2,482.94
PAY000466,O000466,debit_card,1,809.11
PAY000467,O000467,debit_card,1,40.06
PAY000468,O000468,credit_card,12,8911.49
PAY000469,O000469,debit_card,1,657.97
PAY000470,O000470,credit_card,3,961.83
PAY000471,O000471,bank_transfer,1,10431.26
PAY000472,O000472,debit_card,1,315.31
PAY000473,O000473,credit_card,2,1115.3
PAY000474,O000474,credit_card,1,729.5
PAY000475,O000475,credit_card,2,138.08
PAY000476,O000476,credit_card,1,551.01
PAY000477,O000477,digital_wallet,1,681.07
PAY000478,O000478,bank_transfer,1,1710.0
PAY000479,O000479,debit_card,1,1022.03
PAY000480,O000480,digital_wallet,1,2058.39
PAY000481,O000481,digital_wallet,1,218.18
PAY000482,O000482,credit_card,3,624.61
PAY000483,O000483,debit_card,1,1246.36
PAY000484,O000484,digital_wallet,1,1730.88
PAY000485,O000485,debit_card,1,1736.46
PAY000486,O000486,debit_card,1,1281.86
PAY000487,O000487,digital_wallet,1,316.28
PAY000488,O000488,credit_card,2,472.89
PAY000489,O000489,credit_card,3,426.69
PAY000490,O000490,debit_card,1,267.34
PAY000491,O000491,digital_wallet,1,252.95
PAY000492,O000492,debit_card,1,1069.28
PAY000493,O000493,credit_card,12,1254.76
PAY000494,O000494,credit_card,6,106.34
PAY000495,O000495,debit_card,1,4048.76
PAY000496,O000496,credit_card,1,521.42
PAY000497,O000497,debit_card,1,171.91
PAY000498,O000498,debit_card,1,212.98
PAY000499,O000499,digital_wallet,1,1078.46
PAY000500,O000500,credit_card,2,2189.26
PAY000501,O000501,debit_card,1,640.17
PAY000502,O000502,credit_card,6,165.87
PAY000503,O000503,bank_transfer,1,389.51
PAY000504,O000504,bank_transfer,1,1713.91
PAY000505,O000505,credit_card,12,778.56
PAY000506,O000506,bank_transfer,1,2048.12
PAY000507,O000507,digital_wallet,1,530.19
PAY000508,O000508,credit_card,1,268.44
PAY000509,O000509,debit_card,1,2585.23
PAY000510,O000510,debit_card,1,955.93
PAY000511,O000511,credit_card,6,107.55
PAY000512,O000512,credit_card,6,2011.24
PAY000513,O000513,credit_card,2,1868.69
PAY000514,O000514,debit_card,1,349.02
PAY000515,O000515,credit_card,6,580.31
PAY000516,O000516,credit_card,12,1268.38
PAY000517,O000517,credit_card,6,3065.79
PAY000518,O000518,credit_card,6,87.52
PAY000519,O000519,debit_card,1,422.68
PAY000520,O000520,debit_card,1,1688.27
PAY000521,O000521,credit_card,6,274.91
PAY000522,O000522,credit_card,3,519.39
PAY000523,O000523,debit_card,1,367.98
PAY000524,O000524,bank_transfer,1,2292.85
PAY000525,O000525,debit_card,1,3519.71
PAY000526,O000526,digital_wallet,1,384.21
PAY000527,O000527,credit_card,1,791.14
PAY000528,O000528,debit_card,1,202.52
PAY000529,O000529,digital_wallet,1,2051.92
PAY000530,O000530,credit_card,2,131.23
PAY000531,O000531,credit_card,2,899.34
PAY000532,O000532,credit_card,2,834.3
PAY000533,O000533,credit_card,1,1882.47
PAY000534,O000534,bank_transfer,1,777.01
PAY000535,O000535,credit_card,12,246.33
PAY000536,O000536,bank_transfer,1,268.39
PAY000537,O000537,credit_card,1,2336.01
PAY000538,O000538,credit_card,3,1829.93
PAY000539,O000539,digital_wallet,1,821.6
PAY000540,O000540,credit_card,1,2273.37
PAY000541,O000541,credit_card,6,1592.76
PAY000542,O000542,debit_card,1,2079.43
PAY000543,O000543,credit_card,3,20752.9
PAY000544,O000544,credit_card,1,889.33
PAY000545,O000545,credit_card,1,551.85
PAY000546,O000546,credit_card,2,889.15
PAY000547,O000547,credit_card,12,624.24
PAY000548,O000548,bank_transfer,1,416.99
PAY000549,O000549,bank_transfer,1,2709.21
PAY000550,O000550,credit_card,1,34.03
PAY000551,O000551,credit_card,2,436.83
PAY000552,O000552,credit_card,1,1046.62
PAY000553,O000553,credit_card,6,1087.31
PAY000554,O000554,debit_card,1,664.93
PAY000555,O000555,credit_card,3,2853.54
PAY000556,O000556,credit_card,6,404.76
PAY000557,O000557,digital_wallet,1,1323.83
PAY000558,O000558,debit_card,1,810.08
PAY000559,O000559,bank_transfer,1,736.93
PAY000560,O000560,debit_card,1,289.76
PAY000561,O000561,debit_card,1,629.42
PAY000562,O000562,digital_wallet,1,14.87
PAY000563,O000563,credit_card,1,1946.49
PAY000564,O000564,debit_card,1,21.55
PAY000565,O000565,credit_card,2,1780.29
PAY000566,O000566,credit_card,1,740.75
PAY000567,O000567,credit_card,1,823.61
PAY000568,O000568,credit_card,1,326.24
PAY000569,O000569,credit_card,2,551.62
PAY000570,O000570,bank_transfer,1,2503.42
PAY000571,O000571,debit_card,1,1405.84
PAY000572,O000572,CREDIT_CARD,6,621.96
PAY000573,O000573,credit_card,3,673.88
PAY000574,O000574,credit_card,3,1262.23
PAY000575,O000575,debit_card,1,356.71
PAY000576,O000576,credit_card,6,1168.13
PAY000577,O000577,debit_card,1,2264.3
PAY000578,O000578,debit_card,1,350.01
PAY000579,O000579,credit_card,2,1725.78
PAY000580,O000580,debit_card,1,405.65
PAY000581,O000581,credit_card,6,524.24
PAY000582,O000582,credit_card,1,1501.91
PAY000583,O000583,digital_wallet,1,2232.6
PAY000584,O000584,credit_card,3,969.38
PAY000585,O000585,digital_wallet,1,622.7
PAY000586,O000586,credit_card,6,29.21
PAY000587,O000587,debit_card,1,306.01
PAY000588,O000588,bank_transfer,1,830.47
PAY000589,O000589,debit_card,1,278.96
PAY000590,O000590,digital_wallet,1,479.05
PAY000591,O000591,debit_card,1,324.83
PAY000592,O000592,digital_wallet,1,875.42
PAY000593,O000593,credit_card,1,590.42
PAY000594,O000594,credit_card,6,1330.72
PAY000595,O000595,debit_card,1,253.23
PAY000596,O000596,debit_card,1,458.56
PAY000597,O000597,credit_card,12,1731.01
PAY000598,O000598,credit_card,1,4240.02
PAY000599,O000599, credit_card ,2,1111.7
PAY000600,O000600,bank_transfer,1,1799.27
PAY000601,O000601,bank_transfer,1,948.83
PAY000602,O000602,bank_transfer,1,2008.72
PAY000603,O000603,debit_card,1,1528.46
PAY000604,O000604,credit_card,3,1931.3
PAY000605,O000605,credit_card,1,729.4
PAY000606,O000606,credit_card,12,95.56
PAY000607,O000607,credit_card,12,597.22
PAY000608,O000608,debit_card,1,265.33
PAY000609,O000609,debit_card,1,1152.72
PAY000610,O000610,credit_card,3,984.34
PAY000611,O000611,credit_card,6,721.89
PAY000612,O000612,credit_card,3,2460.69
PAY000613,O000613,bank_transfer,1,593.07
PAY000614,O000614,debit_card,1,794.8
PAY000615,O000615,debit_card,1,307.11
PAY000616,O000616,credit_card,6,1574.27
PAY000617,O000617,credit_card,1,699.91
PAY000618,O000618,debit_card,1,759.44
PAY000619,O000619,debit_card,1,395.4
PAY000620,O000620,debit_card,1,647.78
PAY000621,O000621,debit_card,1,59.24
PAY000622,O000622,credit_card,6,1879.36
PAY000623,O000623,credit_card,1,187.87
PAY000624,O000624,bank_transfer,1,645.28
PAY000625,O000625,credit_card,6,298.76
PAY000626,O000626,debit_card,1,3106.13
PAY000627,O000627,bank_transfer,1,153.87
PAY000628,O000628,debit_card,1,2326.95
PAY000629,O000629,credit_card,6,5695.23
PAY000630,O000630,CREDIT_CARD,3,860.12
PAY000631,O000631,debit_card,1,3227.07
PAY000632,O000632,credit_card,1,1602.21
PAY000633,O000633,bank_transfer,1,430.56
PAY000634,O000634,digital_wallet,1,823.61
PAY000635,O000635,credit_card,2,411.7
PAY000636,O000636,credit_card,1,293.46
PAY000637,O000637,digital_wallet,1,3020.19
