order_id,customer_id,purchase_datetime,status,estimated_delivery_datetime,delivered_datetime
O000081,C01575,2025-09-08 13:55:25,delivered,2025-09-17 13:55:25,2025-09-13 13:55:25
O000082,C00892,2024-07-21 13:15:07,delivered,2024-08-02 13:15:07,2024-07-22 13:15:07
O000083,C00064,2024-11-19 08:19:27,delivered,2024-11-22 08:19:27,2024-11-23 08:19:27
O000084,C00013,2024-11-29 00:37:18,shipped,2024-12-05 00:37:18,
O000085,C01381,2024-11-24 04:02:50,delivered,2024-11-27 04:02:50,2024-12-05 04:02:50
O000086,C00078,2024-06-06 10:45:49,delivered,2024-06-14 10:45:49,2024-06-12 10:45:49
O000087,C01971,2025-11-11 02:13:41,delivered,2025-11-20 02:13:41,2025-11-13 02:13:41
O000088,C01707,2025-03-14 09:07:36,delivered,2025-03-23 09:07:36,2025-03-21 09:07:36
O000089,C01947,2025-09-13 01:53:51,delivered,2025-09-25 01:53:51,2025-09-15 01:53:51
O000090,C02442,2026-05-24 16:21:40,delivered,2026-05-30 16:21:40,2026-05-30 16:21:40
O000091,C00845,2024-07-03 02:10:16,delivered,2024-07-07 02:10:16,2024-07-13 02:10:16
O000092,C01099,2026-05-07 20:06:55,delivered,2026-05-17 20:06:55,2026-05-13 20:06:55
O000093,C02252,2024-01-15 03:28:57,returned,2024-01-21 03:28:57,2024-01-23 03:28:57
O000094,C01403,2025-12-02 00:23:32,cancelled,2025-12-08 00:23:32,
O000095,C01142,2026-03-12 16:09:03,delivered,2026-03-17 16:09:03,2026-03-18 16:09:03
O000096,C00911,2024-12-22 23:44:47,delivered,2025-01-02 23:44:47,2024-12-30 23:44:47
O000097,C01855,2026-01-10 00:01:14,delivered,2026-01-20 00:01:14,2026-01-11 00:01:14
O000098,C01226,2026-06-22 08:40:20,delivered,2026-06-28 08:40:20,2026-06-27 08:40:20
O000099,C01358,2024-12-18 02:09:42,delivered,2024-12-23 02:09:42,2024-12-26 02:09:42
O000100,C00945,2024-05-05 04:35:57,shipped,2024-05-11 04:35:57,
O000101,C00232,2024-04-30 05:11:36,delivered,2024-05-09 05:11:36,2024-05-05 05:11:36
O000102,C00525,2025-03-09 09:58:42,delivered,2025-03-13 09:58:42,2025-03-18 09:58:42
O000103,C00563,2024-10-03 02:13:26,delivered,2024-10-06 02:13:26,2024-10-06 02:13:26
O000104,C00629,2024-04-05 18:16:01,delivered,2024-04-11 18:16:01,2024-04-07 18:16:01
O000105,C02413,2025-08-26 20:19:23,delivered,2025-08-29 20:19:23,2025-08-29 20:19:23
O000106,C01791,2025-12-28 17:23:49,delivered,2026-01-01 17:23:49,2026-01-06 17:23:49
O000107,C01436,2024-01-09 03:52:11,delivered,2024-01-16 03:52:11,2024-01-14 03:52:11
O000108,C00666,2024-09-08 09:57:31,delivered,2024-09-19 09:57:31,2024-09-10 09:57:31
O000109,C02355,2024-08-12 08:56:32,delivered,2024-08-17 08:56:32,2024-08-14 08:56:32
O000110,C01713,2026-04-30 01:59:54,delivered,2026-05-08 01:59:54,2026-05-08 01:59:54
O000111,C01681,2024-04-27 00:27:09,delivered,2024-05-08 00:27:09,2024-05-03 00:27:09
O000112,C01029,2025-09-10 10:38:34,delivered,2025-09-12 10:38:34,2025-09-18 10:38:34
O000113,C02296,2024-08-12 16:12:45,delivered,2024-08-18 16:12:45,2024-08-21 16:12:45
O000114,C00561,2025-03-04 20:22:03,delivered,2025-03-10 20:22:03,2025-03-09 20:22:03
O000115,C02186,2024-03-20 09:32:01,delivered,2024-03-22 09:32:01,2024-03-23 09:32:01
O000116,C00276,2025-01-11 23:59:52,delivered,2025-01-14 23:59:52,2025-01-20 23:59:52
O000117,C00137,2024-12-11 01:19:44,delivered,2024-12-16 01:19:44,2024-12-12 01:19:44
O000118,C00750,2026-01-22 06:40:39,delivered,2026-01-31 06:40:39,2026-01-31 06:40:39
O000119,C01290,2026-03-28 23:13:02,delivered,2026-03-30 23:13:02,2026-03-31 23:13:02
O000120,C01944,2024-07-15 21:07:30,delivered,2024-07-25 21:07:30,2024-07-21 21:07:30
O000121,C00961,2026-06-24 03:10:16,delivered,2026-06-29 03:10:16,2026-07-01 03:10:16
O000122,C02488,2025-06-27 05:54:46,cancelled,2025-07-03 05:54:46,
O000123,C00213,2024-04-15 13:49:16,delivered,2024-04-21 13:49:16,2024-04-23 13:49:16
O000124,C02210,2024-02-02 18:50:40,delivered,2024-02-05 18:50:40,2024-02-05 18:50:40
O000125,C01717,2025-07-06 00:04:46,delivered,2025-07-17 00:04:46,2025-07-13 00:04:46
O000126,C02437,2025-01-25 22:56:43,delivered,2025-02-06 22:56:43,2025-01-30 22:56:43
O000127,C01839,2024-01-01 04:48:03,cancelled,2024-01-07 04:48:03,
O000128,C00067,2024-09-05 14:34:02,shipped,2024-09-11 14:34:02,
O000129,C02398,2024-03-16 04:42:33,delivered,2024-03-22 04:42:33,2024-03-18 04:42:33
O000130,C01016,2024-08-08 11:40:23,delivered,2024-08-17 11:40:23,2024-08-16 11:40:23
O000131,C01649,2024-01-11 01:04:04,delivered,2024-01-14 01:04:04,2024-01-19 01:04:04
O000132,C00485,2024-01-18 07:25:55,delivered,2024-01-29 07:25:55,2024-01-20 07:25:55
O000133,C00228,2025-06-15 06:39:00,delivered,2025-06-20 06:39:00,2025-06-18 06:39:00
O000134,C01764,2025-08-08 12:07:53,returned,2025-08-12 12:07:53,2025-08-11 12:07:53
O000135,C00255,2024-08-19 15:15:24,delivered,2024-08-30 15:15:24,2024-08-25 15:15:24
O000136,C01704,2026-06-05 04:41:05,delivered,2026-06-12 04:41:05,2026-06-12 04:41:05
O000137,C00324,2026-01-16 03:28:29,delivered,2026-01-25 03:28:29,2026-01-25 03:28:29
O000138,C00481,2025-07-06 10:03:34,returned,2025-07-11 10:03:34,2025-07-09 10:03:34
O000139,C00087,2025-11-06 16:11:42,delivered,2025-11-08 16:11:42,2025-11-13 16:11:42
O000140,C01080,2026-05-20 00:45:08,delivered,2026-05-30 00:45:08,2026-05-30 00:45:08
O000141,C00911,2024-03-21 03:20:42,delivered,2024-03-25 03:20:42,2024-03-28 03:20:42
O000142,C00602,2024-01-19 11:24:56,delivered,2024-01-28 11:24:56,2024-01-23 11:24:56
O000143,C00328,2025-03-30 02:18:46,delivered,2025-04-02 02:18:46,2025-04-06 02:18:46
O000144,C00886,2025-02-01 18:49:15,delivered,2025-02-08 18:49:15,2025-02-03 18:49:15
O000145,C00887,2025-08-23 01:35:41,delivered,2025-08-27 01:35:41,2025-08-29 01:35:41
O000146,C00171,2024-02-20 22:41:34,delivered,2024-02-28 22:41:34,2024-03-02 22:41:34
O000147,C01664,2024-06-09 06:06:43,delivered,2024-06-21 06:06:43,2024-06-13 06:06:43
O000148,C01664,2024-01-17 04:46:21,delivered,2024-01-20 04:46:21,2024-01-21 04:46:21
O000149,C02150,2025-10-14 20:57:22,delivered,2025-10-22 20:57:22,2025-10-15 20:57:22
O000150,C02309,2024-07-09 05:58:08,delivered,2024-07-16 05:58:08,2024-07-16 05:58:08
O000151,C01618,2026-04-03 16:45:17,delivered,2026-04-14 16:45:17,2026-04-04 16:45:17
O000152,C00268,2025-03-09 22:27:31,delivered,2025-03-13 22:27:31,2025-03-14 22:27:31
O000153,C01594,2024-02-28 16:06:47,delivered,2024-03-10 16:06:47,2024-03-06 16:06:47
O000154,C01697,2026-06-26 18:25:52,delivered,2026-06-28 18:25:52,2026-07-04 18:25:52
O000155,C01938,2026-03-21 10:49:55,delivered,2026-03-25 10:49:55,2026-03-28 10:49:55
O000156,C01095,2024-11-18 21:39:49,delivered,2024-11-29 21:39:49,2024-11-24 21:39:49
O000157,C01788,2024-10-30 07:52:54,delivered,2024-11-04 07:52:54,2024-11-02 07:52:54
O000158,C00017,2025-12-17 02:39:58,delivered,2025-12-26 02:39:58,2025-12-19 02:39:58
O000159,C00840,2025-04-06 19:08:45,delivered,2025-04-18 19:08:45,2025-04-09 19:08:45
O000160,C00989,2024-01-04 22:36:22,shipped,2024-01-13 22:36:22,
O000161,C01842,2025-12-01 18:26:36,delivered,2025-12-07 18:26:36,2025-12-06 18:26:36
O000162,C01699,2025-01-26 12:50:55,delivered,2025-01-29 12:50:55,2025-02-04 12:50:55
O000163,C01745,2024-01-18 18:39:42,delivered,2024-01-25 18:39:42,2024-01-26 18:39:42
O000164,C02191,2024-08-16 01:06:24,returned,2024-08-22 01:06:24,2024-08-23 01:06:24
O000165,C01101,2024-04-22 07:38:11,delivered,2024-05-03 07:38:11,2024-04-27 07:38:11
O000166,C01380,2025-08-21 22:51:44,delivered,,2025-09-01 22:51:44
O000167,C01884,2025-04-27 10:24:07,delivered,2025-05-06 10:24:07,2025-05-01 10:24:07
O000168,C01624,2025-12-14 18:43:30,delivered,2025-12-20 18:43:30,2025-12-17 18:43:30
O000169,C00789,2025-12-17 00:05:26,delivered,2025-12-21 00:05:26,2025-12-22 00:05:26
O000170,C02432,2026-05-06 00:51:07,cancelled,2026-05-10 00:51:07,
O000171,C00934,2025-04-27 20:52:11,delivered,2025-05-05 20:52:11,2025-05-02 20:52:11
O000172,C00318,2026-04-18 19:49:47,delivered,2026-04-30 19:49:47,2026-04-27 19:49:47
O000173,C02255,2025-06-08 16:08:23,delivered,2025-06-18 16:08:23,2025-06-15 16:08:23
O000174,C00409,2024-06-07 20:38:47,delivered,2024-06-17 20:38:47,2024-06-10 20:38:47
O000175,C00918,2024-10-08 18:37:07,delivered,2024-10-16 18:37:07,2024-10-10 18:37:07
O000176,C00411,2024-11-26 11:59:18,delivered,2024-11-28 11:59:18,2024-11-29 11:59:18
O000177,C00813,2025-02-14 19:30:22,returned,2025-02-17 19:30:22,2025-02-19 19:30:22
O000178,C00102,2026-02-18 08:26:35,shipped,2026-02-26 08:26:35,
O000179,C00488,2024-12-29 21:12:02,cancelled,2025-01-05 21:12:02,
O000180,C01422,2025-10-03 09:15:30,delivered,2025-10-14 09:15:30,2025-10-08 09:15:30
O000181,C01097,2026-01-28 22:12:02,delivered,2026-01-31 22:12:02,2026-01-29 22:12:02
O000182,C00240,2025-12-23 21:30:37,delivered,2026-01-02 21:30:37,2025-12-26 21:30:37
O000183,C00621,2025-03-10 23:05:54,delivered,2025-03-12 23:05:54,2025-03-19 23:05:54
O000184,C00548,2025-11-27 08:00:59,delivered,2025-12-08 08:00:59,2025-12-01 08:00:59
O000185,C01477,2025-03-20 11:11:01,delivered,2025-03-28 11:11:01,2025-03-24 11:11:01
O000186,C01797,2025-01-19 09:33:53,shipped,2025-01-25 09:33:53,
O000187,C01111,2026-03-09 10:30:20,cancelled,2026-03-15 10:30:20,
O000188,C00343,2025-01-17 17:33:23,delivered,2025-01-22 17:33:23,2025-01-23 17:33:23
O000189,C02105,2024-07-17 01:53:05,delivered,2024-07-24 01:53:05,2024-07-22 01:53:05
O000190,C02248,2025-04-12 03:32:35,delivered,2025-04-24 03:32:35,2025-04-21 03:32:35
O000191,C00735,2025-12-24 07:08:33,delivered,2025-12-26 07:08:33,2025-12-30 07:08:33
O000192,C01968,2024-02-07 03:45:13,delivered,2024-02-13 03:45:13,2024-02-16 03:45:13
O000193,C00190,2026-05-20 02:44:59,delivered,2026-05-25 02:44:59,2026-05-25 02:44:59
O000194,C00888,2024-11-07 06:45:36,delivered,2024-11-13 06:45:36,2024-11-13 06:45:36
O000195,C00951,2024-12-30 14:44:13,shipped,2025-01-02 14:44:13,
O000196,C01515,2026-03-17 08:58:01,processing,2026-03-27 08:58:01,
O000197,C02362,2025-07-18 12:20:44,delivered,2025-07-22 12:20:44,2025-07-19 12:20:44
O000198,C02493,2026-02-09 19:53:34,delivered,2026-02-12 19:53:34,2026-02-14 19:53:34
O000199,C00391,2024-10-07 19:31:34,delivered,2024-10-16 19:31:34,2024-10-16 19:31:34
O000200,C02397,2026-05-31 21:25:53,delivered,2026-06-06 21:25:53,2026-06-07 21:25:53
O000201,C00919,2024-08-11 11:57:55,delivered,2024-08-14 11:57:55,2024-08-19 11:57:55
O000202,C00155,2024-03-16 09:08:25,processing,2024-03-19 09:08:25,
O000203,C00159,2024-06-03 19:17:00,delivered,2024-06-11 19:17:00,2024-06-07 19:17:00
O000204,C01566,2024-03-01 02:54:24,delivered,2024-03-10 02:54:24,2024-03-02 02:54:24
O000205,C02186,2025-04-15 23:00:37,delivered,2025-04-19 23:00:37,2025-04-26 23:00:37
O000206,C00973,2024-03-25 12:12:56,delivered,2024-03-27 12:12:56,2024-03-27 12:12:56
O000207,C01911,2025-08-20 19:45:46,delivered,2025-08-31 19:45:46,2025-08-25 19:45:46
O000208,C00853,2025-01-09 13:15:18,delivered,2025-01-15 13:15:18,2025-01-19 13:15:18
O000209,C00738,2024-09-23 01:28:31,delivered,2024-10-03 01:28:31,2024-09-26 01:28:31
O000210,C00586,2025-07-19 05:23:29,delivered,2025-07-29 05:23:29,2025-07-25 05:23:29
O000211,C00473,2024-09-09 12:38:05,delivered,2024-09-16 12:38:05,2024-09-17 12:38:05
O000212,C01364,2026-06-11 04:35:47,delivered,2026-06-21 04:35:47,2026-06-17 04:35:47
O000213,C01411,2025-05-24 20:21:41,delivered,2025-05-26 20:21:41,2025-05-29 20:21:41
O000214,C01525,2025-08-29 20:49:54,delivered,2025-08-31 20:49:54,2025-09-08 20:49:54
O000215,C01722,2025-04-15 08:45:34,delivered,2025-04-21 08:45:34,2025-04-24 08:45:34
O000216,C00985,2026-01-31 05:07:39,processing,2026-02-04 05:07:39,
O000217,C01342,2025-07-01 12:18:27,delivered,2025-07-07 12:18:27,2025-07-09 12:18:27
O000218,C00743,2024-08-15 03:00:22,delivered,2024-08-25 03:00:22,2024-08-22 03:00:22
O000219,C00109,2024-11-05 03:10:04,delivered,2024-11-15 03:10:04,2024-11-12 03:10:04
O000220,C00185,2025-03-04 03:28:00,delivered,2025-03-06 03:28:00,2025-03-09 03:28:00
O000221,C01543,2026-01-02 10:13:21,delivered,2026-01-05 10:13:21,2026-01-08 10:13:21
O000222,C01907,2026-03-11 19:27:34,delivered,2026-03-17 19:27:34,2026-03-14 19:27:34
O000223,C01393,2024-02-29 12:32:47,delivered,2024-03-09 12:32:47,2024-03-04 12:32:47
O000224,C01752,2024-07-28 12:12:28,delivered,2024-08-01 12:12:28,2024-08-04 12:12:28
O000225,C02313,2025-12-14 05:24:24,processing,2025-12-17 05:24:24,
O000226,C01057,2024-04-15 17:52:21,delivered,2024-04-20 17:52:21,2024-04-22 17:52:21
O000227,C00754,2025-03-17 16:12:22,shipped,2025-03-22 16:12:22,
O000228,C01581,2025-09-20 17:05:07,returned,2025-09-26 17:05:07,2025-09-30 17:05:07
O000229,C02187,2024-12-07 03:59:59,delivered,2024-12-19 03:59:59,2024-12-09 03:59:59
O000230,C00537,2025-08-12 04:00:50,delivered,2025-08-24 04:00:50,2025-08-16 04:00:50
O000231,C02019,2026-01-10 20:39:08,delivered,2026-01-14 20:39:08,2026-01-16 20:39:08
O000232,C00576,2026-05-19 18:56:26,delivered,2026-05-21 18:56:26,2026-05-21 18:56:26
O000233,C00099,2025-07-29 13:29:18,cancelled,2025-08-04 13:29:18,
O000234,C00200,2024-08-09 19:04:31,delivered,2024-08-20 19:04:31,2024-08-16 19:04:31
O000235,C00808,2024-02-13 22:44:09,delivered,2024-02-16 22:44:09,2024-02-22 22:44:09
O000236,C02289,2025-10-23 07:26:05,delivered,2025-10-26 07:26:05,2025-10-27 07:26:05
O000237,C01952,2026-06-09 01:31:03,delivered,2026-06-11 01:31:03,2026-06-10 01:31:03
O000238,C01014,2025-08-15 23:53:20,delivered,2025-08-25 23:53:20,2025-08-21 23:53:20
O000239,C00830,2024-01-07 05:31:13,delivered,2024-01-14 05:31:13,2024-01-14 05:31:13
O000240,C00437,2024-09-01 00:09:39,delivered,,2024-09-09 00:09:39
O000241,C00600,2024-03-15 01:44:58,shipped,2024-03-21 01:44:58,
O000242,C01750,2024-05-03 21:06:12,delivered,2024-05-12 21:06:12,2024-05-08 21:06:12
O000243,C00624,2024-06-14 10:15:03,cancelled,2024-06-26 10:15:03,
O000244,C00206,2026-02-19 04:09:04,delivered,2026-03-03 04:09:04,2026-03-01 04:09:04
O000245,C02449,2025-04-11 20:15:16,cancelled,2025-04-16 20:15:16,
O000246,C01033,2025-01-28 08:49:40,returned,2025-02-07 08:49:40,2025-02-12 08:49:40
O000247,C02207,2024-12-07 09:36:25,shipped,2024-12-18 09:36:25,
O000248,C01312,2025-03-06 23:51:51,processing,2025-03-14 23:51:51,
O000249,C00184,2024-06-26 19:10:39,delivered,2024-07-01 19:10:39,2024-06-28 19:10:39
O000250,C00102,2025-06-08 02:59:53,delivered,2025-06-12 02:59:53,2025-06-12 02:59:53
O000251,C01189,2024-05-22 03:26:47,delivered,2024-05-25 03:26:47,2024-05-27 03:26:47
O000252,C00888,2025-02-22 08:35:57,delivered,2025-03-04 08:35:57,2025-03-03 08:35:57
O000253,C02496,2024-01-01 16:53:11,delivered,2024-01-12 16:53:11,2024-01-03 16:53:11
O000254,C00101,2024-11-20 01:04:03,cancelled,2024-11-26 01:04:03,
O000255,C01444,2026-06-07 14:26:07,delivered,2026-06-10 14:26:07,2026-06-09 14:26:07
O000256,C00055,2024-03-06 23:26:17,delivered,2024-03-18 23:26:17,2024-03-14 23:26:17
O000257,C02027,2026-06-24 03:21:01,delivered,2026-06-30 03:21:01,2026-07-03 03:21:01
O000258,C02301,2026-01-29 08:19:28,delivered,2026-02-05 08:19:28,2026-02-08 08:19:28
O000259,C02194,2024-02-02 12:57:45,delivered,2024-02-08 12:57:45,2024-02-09 12:57:45
O000260,C00582,2026-05-14 21:29:30,delivered,2026-05-26 21:29:30,2026-05-21 21:29:30
O000261,C00386,2024-11-15 07:38:08,delivered,2024-11-18 07:38:08,2024-11-21 07:38:08
O000262,C02360,2024-01-30 10:00:14,returned,2024-02-03 10:00:14,2024-02-01 10:00:14
O000263,C01402,2024-03-23 09:26:58,delivered,2024-03-31 09:26:58,2024-03-30 09:26:58
O000264,C01025,2025-01-29 03:28:33,returned,2025-02-02 03:28:33,2025-02-08 03:28:33
O000265,C00058,2025-08-26 22:37:32,cancelled,2025-09-03 22:37:32,
O000266,C00134,2025-12-30 12:00:44,delivered,2026-01-10 12:00:44,2026-01-09 12:00:44
O000267,C00439,2024-09-09 09:17:49,delivered,2024-09-16 09:17:49,2024-09-13 09:17:49
O000268,C00922,2026-03-25 03:04:42,processing,2026-04-06 03:04:42,
O000269,C01916,2025-09-11 04:36:21,delivered,2025-09-18 04:36:21,2025-09-19 04:36:21
O000270,C01320,2025-03-29 07:55:51,delivered,2025-04-06 07:55:51,2025-04-04 07:55:51
O000271,C00210,2024-01-11 06:27:55,delivered,2024-01-23 06:27:55,2024-01-13 06:27:55
O000272,C01115,2024-01-09 22:00:44,delivered,2024-01-14 22:00:44,2024-01-14 22:00:44
O000273,C00411,2024-09-06 08:54:15,delivered,2024-09-08 08:54:15,2024-09-14 08:54:15
O000274,C00911,2025-03-01 00:19:44,delivered,2025-03-12 00:19:44,2025-03-04 00:19:44
O000275,C02297,2025-01-08 01:00:15,delivered,2025-01-20 01:00:15,2025-01-14 01:00:15
O000276,C01858,2025-03-14 18:09:01,delivered,2025-03-23 18:09:01,2025-03-15 18:09:01
O000277,C00191,2024-06-18 05:05:22,delivered,2024-06-30 05:05:22,2024-06-21 05:05:22
O000278,C02095,2024-08-20 04:06:11,delivered,2024-08-30 04:06:11,2024-08-25 04:06:11
O000279,C02218,2024-08-13 17:42:36,delivered,2024-08-25 17:42:36,2024-08-19 17:42:36
O000280,C01148,2024-03-06 01:35:25,processing,2024-03-08 01:35:25,
O000281,C01033,2026-05-02 20:59:29,delivered,2026-05-08 20:59:29,2026-05-09 20:59:29
O000282,C00039,2025-03-19 02:48:08,delivered,2025-03-31 02:48:08,2025-03-23 02:48:08
