customer_id,customer_name,city,region,segment,signup_date
C00052,Cliente 0052,Valparaíso,V,Retail,2025-07-27
C00053,Cliente 0053,La Serena,IV,Premium,2026-03-30
C00054,Cliente 0054,Temuco,IX,Premium,2025-02-25
C00055,Cliente 0055,Santiago,RM,Premium,2024-08-15
C00056,Cliente 0056,La Serena,IV,Retail,2025-11-06
C00057,Cliente 0057,Antofagasta,II,Retail,2025-06-05
C00058,Cliente 0058,Santiago,RM,Retail,2024-09-24
C00059,Cliente 0059,Viña del Mar,V,Retail,2026-01-16
C00060,Cliente 0060,,V,Retail,2024-02-15
C00061,Cliente 0061,La Serena,IV,Retail,2024-03-12
C00062,Cliente 0062,Antofagasta,II,Retail,2025-11-13
C00063,Cliente 0063,La Serena,IV,Retail,2025-01-23
C00064,Cliente 0064,Santiago,RM,Retail,2024-08-03
C00065,Cliente 0065,Rancagua,VI,Retail,2024-08-06
C00066,Cliente 0066,Concepción,VIII,Retail,2024-10-17
C00067,Cliente 0067,La Serena,IV,Retail,2024-08-18
C00068,Cliente 0068,Viña del Mar,V,Premium,2024-03-15
C00069,Cliente 0069,Puerto Montt,X,,2024-09-06
C00070,Cliente 0070,Valparaíso,V,Premium,2024-08-12
C00071,Cliente 0071,Talca,VII,Retail,2026-05-18
C00072,Cliente 0072,Talca,VII,Retail,2026-02-12
C00073,Cliente 0073,Talca,VII,Retail,2024-06-11
C00074,Cliente 0074,Antofagasta,II,Premium,2025-06-17
C00075,Cliente 0075,Antofagasta,II,Retail,2024-12-09
C00076,Cliente 0076,Puerto Montt,X,Retail,2025-12-24
C00077,Cliente 0077,Puerto Montt,X,Retail,2026-05-02
C00078,Cliente 0078,Santiago,RM,,2026-02-22
C00079,Cliente 0079,Puerto Montt,X,Premium,2026-05-05
C00080,Cliente 0080,La Serena,IV,Retail,2024-10-06
C00081,Cliente 0081,Puerto Montt,X,Premium,2026-05-10
C00082,Cliente 0082,Puerto Montt,X,Retail,2025-11-09
C00083,Cliente 0083,Concepción,VIII,Retail,2025-01-23
C00084,Cliente 0084,puerto montt,X,Retail,2026-05-01
C00085,Cliente 0085,Talca,VII,Retail,2024-12-24
C00086,Cliente 0086,Santiago,RM,Corporate,2024-07-23
C00087,Cliente 0087,Valparaíso,V,Retail,2024-08-11
C00088,Cliente 0088,Viña del Mar,V,Corporate,2026-01-05
C00089,Cliente 0089,Viña del Mar,V,Retail,2024-11-15
C00090,Cliente 0090,La Serena,IV,Retail,2025-12-08
C00091,Cliente 0091,Viña del Mar,V,Premium,2026-03-26
C00092,Cliente 0092,,IX,Retail,2025-10-25
C00093,Cliente 0093,Puerto Montt,X,Corporate,2025-10-12
C00094,Cliente 0094,Antofagasta,II,Retail,2025-07-05
C00095,Cliente 0095,Temuco,IX,Premium,2026-04-30
C00096,Cliente 0096,Viña del Mar,V,Retail,2025-01-23
C00097,Cliente 0097,La Serena,IV,Retail,2024-09-21
C00098,Cliente 0098,Talca,VII,Retail,2024-07-14
C00099,Cliente 0099,La Serena,IV,Retail,2025-10-23
C00100,Cliente 0100,Puerto Montt,X,Retail,2024-11-09
C00101,Cliente 0101,Talca,VII,Retail,2025-12-20
C00102,Cliente 0102,La Serena,IV,Retail,2026-01-30
C00103,Cliente 0103,Rancagua,VI,Retail,2025-08-26
C00104,Cliente 0104,,II,Retail,2024-07-02
C00105,Cliente 0105,Santiago,RM,Retail,2025-12-15
C00106,Cliente 0106,Santiago,RM,Retail,2025-04-25
C00107,Cliente 0107,Rancagua,VI,Retail,2024-03-07
C00108,Cliente 0108,Concepción,VIII,Retail,2025-07-30
C00109,Cliente 0109,Puerto Montt,X,Retail,2026-03-20
C00110,Cliente 0110,Rancagua,VI,Retail,2025-08-25
C00111,Cliente 0111,Valparaíso,V,Corporate,2024-07-31
C00112,Cliente 0112,Concepción,VIII,Retail,2024-06-09
C00113,Cliente 0113,Santiago,RM,Retail,2025-12-24
C00114,Cliente 0114,Antofagasta,II,Premium,2025-10-02
C00115,Cliente 0115,Talca,VII,Retail,2024-06-01
C00116,Cliente 0116,Antofagasta,II,Retail,2026-04-24
C00117,Cliente 0117,Antofagasta,II,Retail,2024-10-05
C00118,Cliente 0118,Puerto Montt,X,Premium,2025-09-10
C00119,Cliente 0119,Viña del Mar,V,Retail,2024-01-22
C00120,Cliente 0120,Talca,VII,Retail,2024-10-11
C00121,Cliente 0121,Valparaíso,V,Retail,2025-02-22
C00122,Cliente 0122,Puerto Montt,X,Retail,2024-10-22
C00123,Cliente 0123,TEMUCO,IX,Retail,2024-04-28
C00124,Cliente 0124,Talca,VII,Retail,2024-02-25
C00125,Cliente 0125,Rancagua,VI,Premium,2024-07-27
C00126,Cliente 0126,Rancagua,VI,Retail,2025-10-07
C00127,Cliente 0127,Santiago,RM,Retail,2024-04-05
C00128,Cliente 0128,Valparaíso,V,Retail,2024-06-06
C00129,Cliente 0129,Puerto Montt,X,Premium,2025-04-28
C00130,Cliente 0130,Viña del Mar,V,Retail,2026-06-19
C00131,Cliente 0131,Puerto Montt,X,,2026-03-17
C00132,Cliente 0132,Viña del Mar,V,Retail,2025-11-06
C00133,Cliente 0133,Temuco,IX,Retail,2025-07-10
C00134,Cliente 0134,La Serena,IV,Retail,2024-08-27
C00135,Cliente 0135,Puerto Montt,X,Retail,2025-11-10
C00136,Cliente 0136,Talca,VII,Corporate,2024-12-05
C00137,Cliente 0137,Rancagua,VI,Retail,2024-05-27
C00138,Cliente 0138,Antofagasta,II,Retail,2025-12-10
C00139,Cliente 0139,Talca,VII,Retail,2024-11-20
C00140,Cliente 0140,Santiago,RM,Retail,2024-08-28
C00141,Cliente 0141,Valparaíso,V,Retail,2024-04-10
C00142,Cliente 0142,Antofagasta,II,Corporate,2024-02-17
C00143,Cliente 0143,Concepción,VIII,Retail,2025-02-25
C00144,Cliente 0144,Viña del Mar,V,Premium,2025-09-26
C00145,Cliente 0145,Antofagasta,II,Retail,2025-11-13
C00146,Cliente 0146,Talca,VII,Retail,2025-03-28
C00147,Cliente 0147,Antofagasta,II,Retail,2024-11-05
C00148,Cliente 0148,Puerto Montt,X,Retail,2025-08-11
C00149,Cliente 0149,Puerto Montt,X,Retail,2025-08-02
C00150,Cliente 0150,Antofagasta,II,Premium,2024-08-23
C00151,Cliente 0151,Antofagasta,II,Retail,2026-01-08
C00152,Cliente 0152,Antofagasta,II,Premium,2024-02-04
C00153,Cliente 0153,Temuco,IX,Premium,2024-06-28
C00154,Cliente 0154,Talca,VII,Retail,2024-10-06
C00155,Cliente 0155,Antofagasta,II,Premium,2024-12-12
C00156,Cliente 0156,La Serena,IV,Premium,2026-01-11
C00157,Cliente 0157,Puerto Montt,X,Retail,2025-07-03
C00158,Cliente 0158, Viña del Mar ,V,Retail,2025-10-15
C00159,Cliente 0159,Talca,VII,Retail,2025-09-16
C00160,Cliente 0160,Antofagasta,II,Retail,2024-04-29
C00161,Cliente 0161,Valparaíso,V,Retail,2026-06-27
C00162,Cliente 0162,Talca,VII,Retail,2026-01-30
C00163,Cliente 0163,Viña del Mar,V,Retail,2024-10-13
C00164,Cliente 0164,La Serena,IV,Premium,2024-04-11
C00165,Cliente 0165,Puerto Montt,X,Retail,2024-05-05
C00166,Cliente 0166,Santiago,RM,Retail,2024-12-07
C00167,Cliente 0167,Talca,VII,Retail,2024-08-09
C00168,Cliente 0168,Santiago,RM,Retail,2024-05-28
C00169,Cliente 0169,Santiago,RM,Retail,2025-01-01
C00170,Cliente 0170,Concepción,VIII,Premium,2025-06-22
C00171,Cliente 0171,Talca,VII,Retail,2025-04-07
C00172,Cliente 0172,Talca,VII,Retail,2025-10-20
C00173,Cliente 0173,Valparaíso,V,Retail,2025-03-30
C00174,Cliente 0174,Concepción,VIII,Retail,2025-10-10
C00175,Cliente 0175,Talca,VII,Retail,2025-06-01
C00176,Cliente 0176,Talca,VII,Premium,2024-08-08
C00177,Cliente 0177,Rancagua,VI,Retail,2026-01-17
C00178,Cliente 0178,Concepción,VIII,Retail,2025-04-30
C00179,Cliente 0179,Temuco,IX,Premium,2025-07-23
C00180,Cliente 0180,Valparaíso,V,Retail,2026-06-13
C00181,Cliente 0181,Viña del Mar,V,Retail,2024-04-16
C00182,Cliente 0182,Valparaíso,V,Retail,2025-07-23
C00183,Cliente 0183, Puerto Montt ,X,Premium,2026-02-24
C00184,Cliente 0184,Antofagasta,II,Retail,2024-10-06
C00185,Cliente 0185, Concepción ,VIII,Retail,2025-02-14
C00186,Cliente 0186,Talca,VII,Retail,2025-03-05
C00187,Cliente 0187,Viña del Mar,V,Retail,2026-06-23
C00188,Cliente 0188,Valparaíso,V,Retail,2025-11-08
C00189,Cliente 0189,Talca,VII,Retail,2025-03-16
C00190,Cliente 0190,Antofagasta,II,Retail,2025-02-08
C00191,Cliente 0191,Concepción,VIII,Premium,2024-10-23
C00192,Cliente 0192,Concepción,VIII,Retail,2025-12-21
C00193,Cliente 0193,Valparaíso,V,Retail,2026-01-29
C00194,Cliente 0194,Temuco,IX,Retail,2025-08-10
C00195,Cliente 0195,Santiago,RM,Corporate,2024-06-24
C00196,Cliente 0196,Puerto Montt,X,Premium,2024-09-06
C00197,Cliente 0197,Antofagasta,II,Premium,2024-08-14
C00198,Cliente 0198,Talca,VII,Retail,2026-03-05
C00199,Cliente 0199,Concepción,VIII,Retail,2024-05-29
C00200,Cliente 0200,Valparaíso,V,Retail,2026-03-02
C00201,Cliente 0201,Rancagua,VI,Retail,2026-06-22
C00202,Cliente 0202,Temuco,IX,Retail,2024-03-10
C00203,Cliente 0203,Santiago,RM,Retail,2024-03-16
C00204,Cliente 0204,Antofagasta,II,Retail,2026-06-03
C00205,Cliente 0205,Talca,VII,Corporate,2026-01-26
C00206,Cliente 0206,Temuco,IX,Retail,2025-05-28
C00207,Cliente 0207,Temuco,IX,Corporate,2024-03-27
C00208,Cliente 0208,Rancagua,VI,Retail,2025-09-16
C00209,Cliente 0209,Temuco,IX,Retail,2024-02-23
C00210,Cliente 0210,Puerto Montt,X,Retail,2026-01-11
C00211,Cliente 0211,Valparaíso,V,Retail,2024-05-24
C00212,Cliente 0212,Concepción,VIII,Retail,2024-03-27
C00213,Cliente 0213,Concepción,VIII,Retail,2026-04-28
C00214,Cliente 0214,Santiago,RM,Retail,2024-07-03
C00215,Cliente 0215,Concepción,VIII,Retail,2024-10-29
C00216,Cliente 0216,Talca,VII,Retail,2024-12-10
C00217,Cliente 0217,Viña del Mar,V,Premium,2024-06-18
C00218,Cliente 0218,Rancagua,VI,Retail,2026-02-09
C00219,Cliente 0219,Rancagua,VI,Corporate,2024-07-17
C00220,Cliente 0220,Antofagasta,II,Premium,2025-05-29
C00221,Cliente 0221,Viña del Mar,V,Retail,2024-09-13
C00222,Cliente 0222,Valparaíso,V,Premium,2025-06-12
C00223,Cliente 0223,Talca,VII,Retail,2025-03-23
C00224,Cliente 0224,Temuco,IX,Corporate,2025-02-28
C00225,Cliente 0225,Valparaíso,V,Retail,2024-01-29
C00226,Cliente 0226,Concepción,VIII,Retail,2024-10-20
C00227,Cliente 0227,Rancagua,VI,Retail,2024-03-22
C00228,Cliente 0228,Viña del Mar,V,Retail,2024-04-23
C00229,Cliente 0229,Viña del Mar,V,Retail,2024-04-23
C00230,Cliente 0230,,IV,Premium,2024-10-25
C00231,Cliente 0231,Concepción,VIII,Retail,2024-03-28
C00232,Cliente 0232,Talca,VII,Premium,2025-06-03
C00233,Cliente 0233,Puerto Montt,X,Corporate,2024-09-16
C00234,Cliente 0234,Valparaíso,V,Premium,2026-01-22
C00235,Cliente 0235,Concepción,VIII,Premium,2025-12-02
C00236,Cliente 0236,Concepción,VIII,Retail,2026-03-05
C00237,Cliente 0237,Santiago,RM,Retail,2024-11-13
C00238,Cliente 0238,Santiago,RM,Premium,2024-07-14
C00239,Cliente 0239,Temuco,IX,Retail,2026-03-29
C00240,Cliente 0240,Puerto Montt,X,Retail,2024-07-10
C00241,Cliente 0241,Antofagasta,II,Premium,2026-01-14
C00242,Cliente 0242,Talca,VII,Retail,2024-04-15
C00243,Cliente 0243,Puerto Montt,X,Retail,2025-03-30
C00244,Cliente 0244,Viña del Mar,V,Corporate,2024-10-08
C00245,Cliente 0245,Puerto Montt,X,Retail,2026-03-31
C00246,Cliente 0246,Rancagua,VI,Retail,2024-03-09
C00247,Cliente 0247,Viña del Mar,V,Retail,2024-06-06
C00248,Cliente 0248,Viña del Mar,V,Retail,2025-01-10
C00249,Cliente 0249,Santiago,RM,Premium,2025-05-26
C00250,Cliente 0250,Antofagasta,II,Premium,2024-08-07
C00251,Cliente 0251,Valparaíso,V,Retail,2024-03-16
C00252,Cliente 0252,Temuco,IX,Retail,2025-12-27
C00253,Cliente 0253,Concepción,VIII,Premium,2025-12-18
C00254,Cliente 0254,La Serena,IV,Premium,2024-08-30
C00255,Cliente 0255,Talca,VII,Retail,2026-06-24
C00256,Cliente 0256,Rancagua,VI,Retail,2026-02-26
C00257,Cliente 0257,Valparaíso,V,Retail,2025-11-27
C00258,Cliente 0258,Viña del Mar,V,Retail,2024-05-12
C00259,Cliente 0259,Talca,VII,Retail,2024-06-17
C00260,Cliente 0260,Talca,VII,Premium,2026-05-16
C00261,Cliente 0261,Concepción,VIII,Retail,2025-09-21
C00262,Cliente 0262,Viña del Mar,V,Retail,2025-11-05
C00263,Cliente 0263,Viña del Mar,V,Retail,2026-06-03
C00264,Cliente 0264,Antofagasta,II,Retail,2026-02-24
C00265,Cliente 0265,Talca,VII,Retail,2024-11-05
C00266,Cliente 0266,Rancagua,VI,Retail,2024-03-02
C00267,Cliente 0267,Viña del Mar,V,Retail,2026-06-01
C00268,Cliente 0268,Concepción,VIII,Premium,2025-06-11
C00269,Cliente 0269,Rancagua,VI,Retail,2024-04-09
C00270,Cliente 0270,La Serena,IV,Corporate,2024-06-12
C00271,Cliente 0271,concepción,VIII,Retail,2025-06-11
C00272,Cliente 0272,Puerto Montt,X,Retail,2024-09-03
C00273,Cliente 0273,Viña del Mar,V,,2025-10-31
C00274,Cliente 0274,Concepción,VIII,Premium,2026-01-14
C00275,Cliente 0275,Viña del Mar,V,Retail,2025-01-06
C00276,Cliente 0276,Talca,VII,Retail,2025-09-30
C00277,Cliente 0277,Temuco,IX,Retail,2025-01-09
C00278,Cliente 0278,Santiago,RM,Retail,2025-12-31
C00279,Cliente 0279,Talca,VII,Retail,2025-09-19
C00280,Cliente 0280,Antofagasta,II,Retail,2025-06-03
C00281,Cliente 0281,Santiago,RM,Retail,2025-11-20
C00282,Cliente 0282,Santiago,RM,Retail,2024-09-28
C00283,Cliente 0283,Santiago,RM,Retail,2024-06-23
C00284,Cliente 0284,Concepción,VIII,Premium,2024-09-05
C00285,Cliente 0285,Rancagua,VI,Retail,2024-06-04
C00286,Cliente 0286,Rancagua,VI,Premium,2026-01-23
C00287,Cliente 0287,Rancagua,VI,Retail,2024-11-17
C00288,Cliente 0288,Antofagasta,II,Retail,2024-07-15
C00289,Cliente 0289,Antofagasta,II,Premium,2025-12-22
C00290,Cliente 0290,Talca,VII,Corporate,2026-03-25
C00291,Cliente 0291,Puerto Montt,X,Premium,2026-03-02
C00292,Cliente 0292,Temuco,IX,Corporate,2025-11-02
C00293,Cliente 0293,Antofagasta,II,Corporate,2025-12-13
C00294,Cliente 0294,La Serena,IV,Retail,2025-06-27
C00295,Cliente 0295,,VI,Retail,2026-02-28
C00296,Cliente 0296,Puerto Montt,X,Retail,2026-06-20
C00297,Cliente 0297,Temuco,IX,Retail,2024-03-01
C00298,Cliente 0298,Santiago,RM,Corporate,2024-06-28
C00299,Cliente 0299,Puerto Montt,X,,2024-07-09
C00300,Cliente 0300,Valparaíso,V,Corporate,2024-12-09
C00301,Cliente 0301,Concepción,VIII,Premium,2025-04-24
C00302,Cliente 0302,,VI,Retail,2026-01-05
C00303,Cliente 0303,La Serena,IV,Retail,2026-05-26
C00304,Cliente 0304,Valparaíso,V,Retail,2024-04-07
C00305,Cliente 0305,Santiago,RM,Retail,2024-08-29
C00306,Cliente 0306,Viña del Mar,V,Retail,2025-10-31
C00307,Cliente 0307,Antofagasta,II,Retail,2025-12-03
C00308,Cliente 0308,Valparaíso,V,Retail,2024-10-29
C00309,Cliente 0309,Concepción,VIII,Retail,2025-09-12
C00310,Cliente 0310,Talca,VII,Premium,2026-04-25
C00311,Cliente 0311,Valparaíso,V,Retail,2025-06-24
C00312,Cliente 0312,Talca,VII,Corporate,2024-07-26
C00313,Cliente 0313,Rancagua,VI,Retail,2024-07-29
C00314,Cliente 0314,Santiago,RM,Retail,2025-06-09
C00315,Cliente 0315,Antofagasta,II,Premium,2025-02-09
C00316,Cliente 0316,Santiago,RM,Retail,2025-12-18
C00317,Cliente 0317,Rancagua,VI,Retail,2025-02-22
C00318,Cliente 0318,Puerto Montt,X,Retail,2025-01-26
C00319,Cliente 0319,Talca,VII,Retail,2026-05-30
C00320,Cliente 0320,Concepción,VIII,Premium,2024-08-16
C00321,Cliente 0321,Talca,VII,Retail,2025-01-23
C00322,Cliente 0322,Valparaíso,V,Retail,2025-11-07
C00323,Cliente 0323,La Serena,IV,Retail,2024-04-13
C00324,Cliente 0324,Santiago,RM,Retail,2024-02-15
C00325,Cliente 0325,Santiago,RM,Retail,2024-10-23
C00326,Cliente 0326,Viña del Mar,V,Premium,2026-04-18
C00327,Cliente 0327,Talca,VII,Retail,2024-11-03
C00328,Cliente 0328,Concepción,VIII,Retail,2025-03-13
C00329,Cliente 0329,Puerto Montt,X,Premium,2024-11-22
C00330,Cliente 0330,Talca,VII,Retail,2026-05-19
C00331,Cliente 0331,Santiago,RM,Retail,2025-03-02
C00332,Cliente 0332,Temuco,IX,Retail,2025-04-05
C00333,Cliente 0333,Antofagasta,II,Retail,2025-09-11
C00334,Cliente 0334,Viña del Mar,V,Premium,2025-07-26
C00335,Cliente 0335,Santiago,RM,Retail,2024-07-13
C00336,Cliente 0336,Viña del Mar,V,Premium,2025-02-10
C00337,Cliente 0337,Talca,VII,Retail,2024-11-11
C00338,Cliente 0338,Rancagua,VI,Premium,2024-11-23
C00339,Cliente 0339,La Serena,IV,Premium,2024-01-17
C00340,Cliente 0340,Antofagasta,II,Retail,2024-12-03
C00341,Cliente 0341,Temuco,IX,Retail,2026-04-21
C00342,Cliente 0342,Concepción,VIII,Premium,2024-12-26
C00343,Cliente 0343,Talca,VII,Corporate,2024-03-01
C00344,Cliente 0344,Santiago,RM,Premium,2025-02-26
C00345,Cliente 0345,Santiago,RM,Retail,2025-04-11
C00346,Cliente 0346,rancagua,VI,Retail,2024-01-17
C00347,Cliente 0347,Antofagasta,II,Retail,2024-10-20
C00348,Cliente 0348,Concepción,VIII,Retail,2024-04-08
C00349,Cliente 0349,Temuco,IX,Retail,2025-02-10
C00350,Cliente 0350,La Serena,IV,Retail,2026-04-27
C00351,Cliente 0351,Valparaíso,V,Retail,2025-01-21
C00352,Cliente 0352,Valparaíso,V,Retail,2025-03-20
C00353,Cliente 0353,Valparaíso,V,Premium,2024-02-13
C00354,Cliente 0354, Rancagua ,VI,Retail,2024-03-17
C00355,Cliente 0355,Temuco,IX,Retail,2024-07-31
C00356,Cliente 0356,Valparaíso,V,Retail,2025-07-31
C00357,Cliente 0357,Talca,VII,Retail,2026-02-12
C00358,Cliente 0358,Temuco,IX,Retail,2025-03-23
C00359,Cliente 0359,Viña del Mar,V,Retail,2026-03-03
C00360,Cliente 0360,Rancagua,VI,Retail,2025-07-20
C00361,Cliente 0361,Valparaíso,V,Premium,2024-10-29
C00362,Cliente 0362,Concepción,VIII,,2024-11-20
C00363,Cliente 0363,Temuco,IX,Premium,2024-04-14
C00364,Cliente 0364,Talca,VII,Retail,2024-01-27
C00365,Cliente 0365,Temuco,IX,Premium,2024-01-13
C00366,Cliente 0366,Talca,VII,Corporate,2024-09-05
C00367,Cliente 0367,Antofagasta,II,Retail,2025-05-19
C00368,Cliente 0368,Rancagua,VI,Premium,2025-01-04
C00369,Cliente 0369,Viña del Mar,V,Retail,2024-04-19
C00370,Cliente 0370,Viña del Mar,V,Retail,2026-06-01
C00371,Cliente 0371,Viña del Mar,V,Retail,2024-11-24
C00372,Cliente 0372,Puerto Montt,X,Corporate,2024-10-25
C00373,Cliente 0373,Puerto Montt,X,Retail,2026-03-15
C00374,Cliente 0374,Talca,VII,Retail,2026-02-25
C00375,Cliente 0375,La Serena,IV,Retail,2024-10-25
C00376,Cliente 0376,Rancagua,VI,Retail,2024-11-06
C00377,Cliente 0377,Puerto Montt,X,Retail,2025-09-04
C00378,Cliente 0378,Puerto Montt,X,Retail,2026-03-20
C00379,Cliente 0379,Valparaíso,V,Retail,2024-09-11
C00380,Cliente 0380,Viña del Mar,V,Corporate,2025-11-24
C00381,Cliente 0381,Puerto Montt,X,Retail,2024-04-10
C00382,Cliente 0382,Viña del Mar,V,Retail,2025-01-18
C00383,Cliente 0383,Concepción,VIII,Retail,2024-01-26
C00384,Cliente 0384,Valparaíso,V,Premium,2026-01-17
C00385,Cliente 0385,Talca,VII,Retail,2025-05-02
C00386,Cliente 0386,Antofagasta,II,Retail,2025-12-28
C00387,Cliente 0387,Concepción,VIII,Corporate,2026-01-28
C00388,Cliente 0388,Puerto Montt,X,Corporate,2024-08-25
C00389,Cliente 0389,PUERTO MONTT,X,Retail,2025-09-20
C00390,Cliente 0390,La Serena,IV,Retail,2026-02-09
C00391,Cliente 0391,Temuco,IX,Retail,2025-04-13
C00392,Cliente 0392,Temuco,IX,Retail,2025-09-17
C00393,Cliente 0393,Viña del Mar,V,Retail,2025-11-20
C00394,Cliente 0394,Temuco,IX,Retail,2024-11-08
C00395,Cliente 0395,Puerto Montt,X,Retail,2025-08-11
C00396,Cliente 0396,Concepción,VIII,Retail,2025-05-16
C00397,Cliente 0397,Santiago,RM,Premium,2024-01-10
C00398,Cliente 0398,Talca,VII,Retail,2025-02-22
C00399,Cliente 0399,Valparaíso,V,Retail,2026-03-25
C00400,Cliente 0400,Concepción,VIII,Premium,2025-08-02
C00401,Cliente 0401,Talca,VII,Premium,2025-01-10
C00402,Cliente 0402,Talca,VII,Retail,2025-03-11
C00403,Cliente 0403,Santiago,RM,Retail,2024-12-22
C00404,Cliente 0404,La Serena,IV,Retail,2026-01-25
C00405,Cliente 0405,Puerto Montt,X,Retail,2024-05-22
C00406,Cliente 0406,Talca,VII,Retail,2025-07-05
C00407,Cliente 0407,Antofagasta,II,Corporate,2025-06-10
C00408,Cliente 0408,Santiago,RM,Corporate,2026-06-06
C00409,Cliente 0409,Temuco,IX,Premium,2026-02-18
C00410,Cliente 0410,Puerto Montt,X,Retail,2024-03-18
C00411,Cliente 0411,Antofagasta,II,Retail,2026-06-17
C00412,Cliente 0412,Valparaíso,V,Premium,2025-04-14
C00413,Cliente 0413,Talca,VII,Retail,2025-03-15
C00414,Cliente 0414,Talca,VII,Retail,2025-08-02
C00415,Cliente 0415,,RM,Retail,2026-03-13
C00416,Cliente 0416,Rancagua,VI,Retail,2025-03-14
C00417,Cliente 0417,Antofagasta,II,Retail,2026-06-16
C00418,Cliente 0418,Concepción,VIII,Retail,2025-10-02
C00419,Cliente 0419,Valparaíso,V,Premium,2024-01-02
C00420,Cliente 0420,Rancagua,VI,Retail,2025-12-13
C00421,Cliente 0421,Concepción,VIII,Retail,2024-08-22
C00422,Cliente 0422,Temuco,IX,Premium,2024-05-20
C00423,Cliente 0423,Concepción,VIII,Retail,2025-07-30
C00424,Cliente 0424,La Serena,IV,Retail,2024-06-04
C00425,Cliente 0425,Valparaíso,V,Retail,2024-05-06
C00426,Cliente 0426,Concepción,VIII,Retail,2025-10-22
C00427,Cliente 0427,Antofagasta,II,Premium,2025-12-08
C00428,Cliente 0428,Talca,VII,Retail,2024-07-12
C00429,Cliente 0429,La Serena,IV,Retail,2024-04-25
C00430,Cliente 0430,Santiago,RM,Corporate,2024-11-20
C00431,Cliente 0431,talca,VII,Retail,2026-02-20
C00432,Cliente 0432,Valparaíso,V,Retail,2024-08-08
C00433,Cliente 0433,Antofagasta,II,Retail,2025-05-28
C00434,Cliente 0434,Talca,VII,Retail,2024-10-11
C00435,Cliente 0435,Concepción,VIII,Retail,2025-02-04
C00436,Cliente 0436,Valparaíso,V,Retail,2025-03-23
C00437,Cliente 0437,Rancagua,VI,Retail,2024-02-26
C00438,Cliente 0438,Santiago,RM,Premium,2025-12-19
C00439,Cliente 0439,Antofagasta,II,Retail,2024-05-09
C00440,Cliente 0440,Temuco,IX,Premium,2024-10-05
C00441,Cliente 0441,Valparaíso,V,Retail,2025-06-07
