product_id,product_name,category,brand,unit_cost,unit_price,weight_g,stock
P0040,Producto 040,Belleza,Orion,130.8,354.01,4420,213
P0041,Producto 041,Accesorios,,67.98,126.39,4099,482
P0042,Producto 042,Mascotas,Atlas,246.04,584.05,3006,457
P0043,Producto 043,Accesorios,Nova,77.97,118.53,1194,82
P0044,Producto 044,Accesorios,Atlas,288.63,456.63,11648,458
P0045,Producto 045,Oficina,Orion,55.74,72.1,11112,385
P0046,Producto 046,Electrónica,Orion,72.61,190.18,4396,389
P0047,Producto 047,Accesorios,Atlas,142.33,224.37,11879,360
P0048,Producto 048,Belleza,,370.02,920.6,712,103
P0049,Producto 049,Ropa,Andes,326.61,841.2,9451,164
P0050,Producto 050,Deportes,Orion,349.31,745.53,1583,11
P0051,Producto 051,Mascotas,Terra,266.95,371.95,3307,244
P0052,Producto 052,Electrónica,Orion,365.02,782.48,7752,42
P0053,Producto 053,Hogar,Pixel,161.54,360.49,2536,59
P0054,Producto 054,Accesorios,Nexo,188.75,429.08,926,58
P0055,Producto 055,Hogar,Nexo,163.47,237.15,3010,21
P0056,Producto 056,Juguetes,Atlas,373.23,581.05,10256,382
P0057,Producto 057,Ropa,Nexo,137.58,286.31,10868,91
P0058,Producto 058,Oficina,Andes,63.25,156.02,2935,51
P0059,Producto 059,Ropa,Pixel,369.08,953.24,9494,340
P0060,Producto 060,Ropa,Pixel,10.78,27.23,3222,358
P0061,Producto 061,Ropa,Andes,324.94,776.86,70,412
P0062,Producto 062,Juguetes,Pixel,312.57,673.39,329,397
P0063,Producto 063,Libros,Orion,171.85,310.44,5401,276
P0064,Producto 064,Belleza,Nova,106.71,145.78,2608,13
P0065,Producto 065,Hogar,Terra,247.24,492.73,9184,253
P0066,Producto 066,Accesorios,Andes,174.76,451.94,416,211
P0067,Producto 067,Hogar,Terra,130.5,355.88,,423
P0068,Producto 068,Libros,Nova,102.88,148.48,10144,185
P0069,Producto 069,Accesorios,Terra,171.58,423.73,10255,33
P0070,Producto 070,Juguetes,Terra,116.88,298.91,4082,128
P0071,Producto 071,Libros,Atlas,175.94,250.08,9142,30
P0072,Producto 072,Electrónica,Orion,14.55,38.74,6809,283
P0073,Producto 073,Hogar,Atlas,68.1,139.62,8969,6
P0074,Producto 074,Accesorios,Andes,62.66,81.29,11843,55
P0075,Producto 075,Belleza,Nova,165.8,233.38,932,236
P0076,Producto 076,Libros,Terra,388.11,1058.97,8111,153
P0077,Producto 077,Belleza,Nova,10.9,20.98,5766,272
P0078,Producto 078,Ropa,Luma,200.48,314.17,9245,2
P0079,Producto 079,Belleza,Nexo,66.01,165.37,7250,472
P0080,Producto 080,Deportes,Andes,143.88,194.14,3991,425
P0081,Producto 081,Electrónica,Luma,163.58,312.38,5138,5000
P0082,Producto 082,Hogar,Nova,180.98,362.46,7707,63
P0083,Producto 083,Libros,Orion,219.38,594.36,1163,420
P0084,Producto 084,Libros,Nova,128.76,294.21,11645,33
P0085,Producto 085,Mascotas,Nova,323.9,554.3,9846,420
P0086,Producto 086,Oficina,Atlas,257.0,579.39,3304,237
P0087,Producto 087,Ropa,Luma,44.41,118.02,1681,76
P0088,Producto 088,Accesorios,Luma,102.3,259.63,5330,223
P0089,Producto 089,Mascotas,Luma,234.81,625.43,10053,228
P0090,Producto 090,Libros,Pixel,353.84,907.45,10868,71
P0091,Producto 091,Oficina,Pixel,45.85,86.5,2644,338
P0092,Producto 092,Libros,Andes,340.45,901.51,8991,483
P0093,Producto 093,Mascotas,Atlas,360.73,952.7,1418,499
P0094,Producto 094,Oficina,Luma,371.41,756.84,1206,496
P0095,Producto 095,Oficina,Pixel,67.64,97.16,5883,267
P0096,Producto 096,Accesorios,Terra,177.32,224.82,2877,31
P0097,Producto 097,Accesorios,Terra,191.42,267.08,2996,431
P0098,Producto 098,Ropa,Andes,306.79,701.13,2635,261
P0099,Producto 099,Deportes,Nexo,225.64,458.56,7641,371
P0100,Producto 100,Accesorios,Nova,109.79,237.44,3807,365
P0101,Producto 101,Mascotas,Nexo,48.55,92.83,8149,460
P0102,Producto 102,Oficina,Orion,135.99,249.53,1803,398
P0103,Producto 103,Ropa,Pixel,119.97,158.36,9958,474
P0104,Producto 104,Ropa,Nexo,220.53,521.9,10073,219
P0105,Producto 105,Hogar,Atlas,8.6,18.23,1724,197
P0106,Producto 106,Belleza,Nexo,112.99,236.99,55,257
P0107,Producto 107,Libros,Nexo,214.95,435.88,10111,21
P0108,Producto 108,Accesorios,Pixel,396.28,957.8,7343,308
P0109,Producto 109,Hogar,Andes,122.76,194.26,1900,300
P0110,Producto 110,Mascotas,Pixel,399.44,1039.88,11760,208
P0111,Producto 111,Electrónica,Terra,77.89,127.38,4219,164
P0112,Producto 112,Electrónica,Pixel,146.69,400.76,4999,253
P0113,Producto 113,Juguetes,Nova,349.72,814.98,4532,14
P0114,Producto 114,Accesorios,Atlas,359.04,967.11,1120,395
P0115,Producto 115,Mascotas,Nova,220.49,602.48,96,443
P0116,Producto 116,Libros,Andes,179.37,339.23,1763,403
P0117,Producto 117,Ropa,Nexo,379.09,794.64,10150,339
P0118,Producto 118,Mascotas,Nexo,279.81,588.11,5155,476
P0119,Producto 119,Hogar,Terra,138.75,229.62,5187,411
P0120,Producto 120,Mascotas,Pixel,27.2,62.98,7877,184
P0121,Producto 121,Electrónica,Terra,48.9,97.09,6971,349
P0122,Producto 122,Oficina,Nexo,86.03,149.46,6780,499
P0123,Producto 123,Libros,Terra,151.47,202.44,8004,3
P0124,Producto 124,Libros,Pixel,122.29,336.97,4149,91
P0125,Producto 125,Libros,Nexo,174.81,329.73,5405,404
P0126,Producto 126,Libros,Terra,171.74,311.62,7309,174
P0127,Producto 127,Libros,Terra,386.04,597.61,8347,412
P0128,Producto 128,Juguetes,Luma,320.38,835.43,2193,437
P0129,Producto 129,Libros,Nova,46.93,104.68,9940,311
P0130,Producto 130,Ropa,Pixel,342.81,491.43,2542,150
P0131,Producto 131,Accesorios,Atlas,127.0,185.19,5227,313
P0132,Producto 132,Libros,Andes,40.55,107.93,8297,417
P0133,Producto 133,Ropa,Nova,6.42,17.03,8845,7
P0134,Producto 134,Accesorios,Atlas,396.69,574.47,1346,88
P0135,Producto 135,Electrónica,Luma,180.66,504.23,6743,405
P0136,Producto 136,Hogar,Pixel,293.26,784.55,926,104
P0137,Producto 137,Accesorios,Terra,94.28,168.37,9695,373
P0138,Producto 138,Oficina,Terra,389.59,870.78,6087,135
P0139,Producto 139,Oficina,Orion,203.37,531.18,5981,408
P0140,Producto 140,Ropa,Luma,124.98,227.4,10735,239
P0141,Producto 141,Hogar,Andes,59.42,92.1,11730,229
P0142,Producto 142,Accesorios,Andes,182.5,483.04,6573,391
P0143,Producto 143,Deportes,Atlas,71.21,110.16,9144,275
P0144,Producto 144,Accesorios,Terra,286.83,649.77,1045,410
P0145,Producto 145,Belleza,Nova,104.95,247.46,3234,16
P0146,Producto 146,Juguetes,Pixel,109.64,288.94,5473,434
P0147,Producto 147,Hogar,Andes,287.2,535.43,7818,258
P0148,Producto 148,Juguetes,Pixel,114.43,188.16,11027,489
P0149,Producto 149,Oficina,Orion,328.5,858.19,11329,33
P0150,Producto 150,Oficina,Andes,10.17,23.53,11945,342
P0151,Producto 151,Oficina,Atlas,384.3,785.65,4235,447
P0152,Producto 152,Mascotas,Nexo,395.32,817.49,2589,453
P0153,Producto 153,Juguetes,Atlas,233.19,339.5,7903,53
P0154,Producto 154,Ropa,Orion,18.43,25.6,11992,306
P0155,Producto 155,Deportes,Luma,56.35,88.23,9171,332
P0156,Producto 156,Belleza,Andes,63.78,90.87,10635,337
P0157,Producto 157,Deportes,Orion,393.43,807.11,8482,473
P0158,Producto 158,Deportes,Pixel,51.97,130.71,294,94
P0159,Producto 159,Oficina,Nexo,186.68,343.13,792,465
P0160,Producto 160,Oficina,Atlas,287.09,413.02,9024,42
P0161,Producto 161,Hogar,Luma,28.44,67.49,9110,148
P0162,Producto 162,Hogar,Nova,315.32,529.22,9066,328
P0163,Producto 163,Mascotas,Terra,333.49,825.28,621,1
P0164,Producto 164,Ropa,Pixel,5.39,13.57,4620,483
P0165,Producto 165,Hogar,Terra,11.74,27.21,7191,221
P0166,Producto 166,Hogar,Andes,9.16,20.64,6127,153
P0167,Producto 167,Belleza,Luma,4.63,9.0,5357,51
P0168,Producto 168,Libros,Atlas,20.62,45.44,6067,395
P0169,Producto 169,Belleza,Luma,223.37,410.06,11938,290
P0170,Producto 170,Accesorios,Nova,213.07,444.66,9192,284
P0171,Producto 171,Oficina,Atlas,313.51,427.19,551,189
P0172,Producto 172,Hogar,Atlas,359.13,461.92,9793,121
P0173,Producto 173,Juguetes,Atlas,340.31,758.26,9508,286
P0174,Producto 174,Hogar,Nova,305.38,845.79,9415,188
P0175,Producto 175,Juguetes,Terra,206.16,568.15,1979,235
P0176,Producto 176,Deportes,Atlas,121.53,265.34,1272,49
P0177,Producto 177,Deportes,Luma,40.39,95.11,6649,481
P0178,Producto 178,Mascotas,Atlas,136.37,294.67,7410,27
P0179,Producto 179,Libros,Terra,109.49,159.25,9119,177
P0180,Producto 180,Electrónica,Terra,176.31,358.61,97,432
P0181,Producto 181,Accesorios,Nova,285.28,364.59,865,32
P0182,Producto 182,Juguetes,Nexo,112.94,150.43,2862,108
P0183,Producto 183, deportes ,Pixel,368.14,808.84,11864,453
P0184,Producto 184,Oficina,Pixel,67.72,112.13,7465,123
P0185,Producto 185,Oficina,Terra,6.47,8.75,5807,482
P0186,Producto 186,Hogar,Andes,231.45,638.99,10051,91
P0187,Producto 187,Hogar,Terra,77.63,106.77,764,380
P0188,Producto 188,Accesorios,Nova,329.04,480.75,768,16
P0189,Producto 189,Electrónica,Nova,382.96,630.91,11529,424
P0190,Producto 190,Libros,Terra,280.85,449.88,10631,72
P0191,Producto 191,Oficina,Orion,346.62,654.69,2204,304
P0192,Producto 192,Ropa,Andes,383.9,951.76,8482,473
P0193,Producto 193,Oficina,Andes,88.43,216.15,1208,18
P0194,Producto 194,Oficina,Nexo,91.82,140.84,7722,456
P0195,Producto 195,Juguetes,Atlas,105.39,256.53,4014,172
P0196,Producto 196,Ropa,Luma,391.69,753.97,7083,229
P0197,Producto 197,Libros,Luma,372.66,756.59,9014,155
P0198,Producto 198,Libros,Nexo,366.34,764.66,5470,171
P0199,Producto 199,Electrónica,Nexo,146.6,324.1,5824,40
P0200,Producto 200,Deportes,Nova,239.25,499.63,5510,461
P0201,Producto 201,Libros,Nova,267.77,583.78,3876,51
P0202,Producto 202,Oficina,Nexo,41.52,115.37,362,72
P0203,Producto 203,Ropa,Nova,275.95,420.71,10434,12
P0204,Producto 204,Juguetes,Luma,280.66,387.0,2952,0
P0205,Producto 205,Juguetes,Terra,349.28,468.82,2637,440
P0206,Producto 206,Hogar,Terra,47.95,75.89,11837,476
P0207,Producto 207,Mascotas,Luma,178.3,469.0,5617,16
P0208,Producto 208,Hogar,Atlas,282.86,723.84,7647,304
P0209,Producto 209,Mascotas,Terra,258.99,690.43,10968,384
P0210,Producto 210,Libros,Orion,388.05,949.92,,104
P0211,Producto 211,Juguetes,Pixel,375.32,980.09,7069,23
P0212,Producto 212,Hogar,Andes,218.93,486.38,1586,489
P0213,Producto 213,Mascotas,Pixel,384.1,693.96,4041,465
P0214,Producto 214, juguetes ,Nexo,31.98,42.92,8027,291
P0215,Producto 215,Mascotas,Nexo,377.39,1003.36,9020,30
P0216,Producto 216,Libros,Nova,312.2,823.56,7897,256
P0217,Producto 217,Belleza,Orion,229.83,390.23,9569,357
P0218,Producto 218,Electrónica,Nexo,198.35,363.84,2625,171
P0219,Producto 219,Electrónica,Andes,199.32,553.58,5179,130
P0220,Producto 220,Accesorios,Luma,76.77,103.24,3110,338
P0221,Producto 221,Belleza,Luma,135.09,188.81,299,377
P0222,Producto 222,Ropa,Nova,145.04,182.56,8913,284
P0223,Producto 223,Deportes,Andes,39.0,72.48,3653,406
P0224,Producto 224,Juguetes,Atlas,136.3,355.54,9267,284
P0225,Producto 225,Mascotas,Pixel,38.74,84.06,9775,394
P0226,Producto 226,Belleza,Nexo,269.73,706.04,188,452
P0227,Producto 227, deportes ,Andes,105.31,292.14,454,355
P0228,Producto 228,Hogar,Terra,337.37,539.71,9073,3
P0229,Producto 229,Hogar,Pixel,30.74,81.64,8642,402
P0230,Producto 230,Electrónica,Terra,227.96,438.21,1886,257
P0231,Producto 231,Oficina,Andes,293.21,766.78,9372,383
P0232,Producto 232,Hogar,Nexo,224.18,295.67,874,384
P0233,Producto 233,Oficina,Orion,30.6,84.69,10022,482
P0234,Producto 234,Deportes,Luma,135.35,354.24,925,336
P0235,Producto 235,Accesorios,Pixel,4.48,6.83,3552,314
P0236,Producto 236,Belleza,Pixel,266.34,397.11,4178,45
P0237,Producto 237,Belleza,Pixel,370.12,956.17,1847,33
P0238,Producto 238,Mascotas,,281.64,645.9,10327,376
P0239,Producto 239,Electrónica,Luma,375.09,873.44,3638,436
P0240,Producto 240,Deportes,Andes,100.5,237.45,728,460
P0241,Producto 241,Juguetes,Nova,165.23,307.92,97,349
P0242,Producto 242,Mascotas,Orion,374.22,722.98,7580,182
P0243,Producto 243,Belleza,Pixel,308.09,711.65,10728,82
P0244,Producto 244,Hogar,Atlas,122.22,316.68,719,440
P0245,Producto 245,Belleza,Andes,377.87,489.42,4112,431
P0246,Producto 246,Mascotas,Nexo,159.19,236.21,1379,410
P0247,Producto 247,Electrónica,Nova,149.29,315.54,6088,496
P0248,Producto 248,Accesorios,Nova,155.73,363.73,2556,43
P0249,Producto 249,Electrónica,Luma,234.16,575.36,4223,153
P0250,Producto 250, belleza ,Luma,243.45,375.47,3731,290
P0251,Producto 251,Ropa,Pixel,183.63,266.39,2817,197
P0252,Producto 252,Libros,Pixel,105.27,259.81,10952,70
P0253,Producto 253,Oficina,Terra,109.56,162.64,11177,263
P0254,Producto 254,Oficina,Atlas,379.86,824.63,11309,316
P0255,Producto 255,Belleza,Luma,363.35,854.74,10830,307
P0256,Producto 256,Oficina,Terra,322.78,847.43,11849,494
P0257,Producto 257,Deportes,Terra,268.02,486.52,3914,115
P0258,Producto 258,Electrónica,Orion,34.71,81.39,6043,434
P0259,Producto 259,Libros,Terra,345.97,849.86,6446,469
P0260,Producto 260,Accesorios,Nexo,236.38,623.36,4445,369
P0261,Producto 261,Belleza,Terra,386.95,745.54,9295,241
P0262,Producto 262,Mascotas,Nexo,385.06,519.27,3468,463
P0263,Producto 263,Juguetes,Nova,216.05,574.22,9432,170
P0264,Producto 264,Libros,Andes,326.65,502.16,6588,305
P0265,Producto 265, ropa ,Nexo,123.63,240.13,1898,436
P0266,Producto 266,Libros,Pixel,98.88,242.67,9692,60
P0267,Producto 267,Libros,Nova,399.09,1088.78,10710,278
P0268,Producto 268,Ropa,Andes,123.19,214.47,5111,109
P0269,Producto 269,Belleza,,93.5,256.16,11202,462
P0270,Producto 270,Hogar,Atlas,376.3,949.79,2786,72
P0271,Producto 271,Accesorios,Andes,366.8,775.17,5265,80
P0272,Producto 272,Deportes,Nexo,356.12,724.17,7597,132
P0273,Producto 273,Accesorios,Nova,48.52,75.24,2730,445
P0274,Producto 274,Oficina,Nexo,319.47,832.77,2468,113
P0275,Producto 275,Ropa,,274.06,515.35,3244,239
P0276,Producto 276,Electrónica,Terra,326.86,820.81,8848,32
P0277,Producto 277,Oficina,Nova,18.4,49.26,7977,438
P0278,Producto 278,Deportes,Terra,187.39,480.16,3242,61
P0279,Producto 279,Mascotas,Andes,308.62,489.87,6570,270
P0280,Producto 280,Deportes,Nova,82.59,128.6,10247,177
P0281,Producto 281,Deportes,Nova,241.97,372.41,11948,323
P0282,Producto 282,Juguetes,Terra,331.59,856.4,11238,109
P0283,Producto 283, accesorios ,Orion,280.93,433.94,8605,308
P0284,Producto 284,Accesorios,Orion,313.62,501.64,3763,216
P0285,Producto 285,Accesorios,Nexo,40.29,53.42,7572,23
P0286,Producto 286,Hogar,,332.59,518.79,682,50
P0287,Producto 287,Juguetes,Orion,357.61,756.46,9228,323
P0288,Producto 288,Accesorios,Nexo,369.52,898.37,8801,440
P0289,Producto 289,Accesorios,Luma,55.89,88.04,3600,353
P0290,Producto 290,Oficina,Nova,255.36,617.79,4834,129
P0291,Producto 291,Mascotas,Pixel,288.07,657.02,11278,323
P0292,Producto 292,Ropa,Nova,153.3,386.72,10174,172
P0293,Producto 293,Belleza,Atlas,346.34,564.26,10662,58
P0294,Producto 294,Accesorios,Luma,45.4,73.38,8005,342
P0295,Producto 295,Hogar,Terra,62.8,164.98,1225,112
P0296,Producto 296,Oficina,Luma,266.93,428.51,11848,242
P0297,Producto 297,Libros,Atlas,21.83,38.06,9367,37
P0298,Producto 298,Juguetes,Andes,173.54,410.7,1229,39
P0299,Producto 299,Ropa,Luma,10.7,28.85,1546,295
P0300,Producto 300, juguetes ,Atlas,220.66,398.18,3078,30
P0301,Producto 301,Libros,Pixel,176.1,263.33,294,36
P0302,Producto 302,Hogar,Pixel,125.76,340.59,9414,124
P0303,Producto 303,Ropa,Atlas,214.66,483.69,6701,18
P0304,Producto 304,Deportes,Nexo,198.26,396.52,1359,408
P0305,Producto 305,Ropa,Nova,186.31,330.82,9499,493
P0306,Producto 306,Ropa,Terra,97.94,219.19,3457,481
P0307,Producto 307,Libros,Orion,49.65,69.12,6312,168
P0308,Producto 308,Mascotas,Terra,75.95,109.62,798,81
P0309,Producto 309,Juguetes,Atlas,323.79,541.39,4683,288
P0310,Producto 310,Electrónica,Nova,4.47,8.5,9245,237
P0311,Producto 311,Ropa,Atlas,162.76,347.85,9767,230
P0312,Producto 312,Belleza,Nexo,356.65,681.66,603,131
P0313,Producto 313,Juguetes,Terra,280.82,555.72,666,301
P0314,Producto 314,Mascotas,Pixel,385.3,745.22,1850,451
P0315,Producto 315, ropa ,Orion,131.15,174.01,6127,303
P0316,Producto 316,Hogar,Pixel,213.49,419.97,11099,105
P0317,Producto 317,Juguetes,Luma,366.8,811.43,9218,430
P0318,Producto 318,Libros,Nexo,264.35,432.06,5463,385
P0319,Producto 319,Belleza,Luma,284.78,702.73,5052,313
P0320,Producto 320,Belleza,Orion,334.18,907.09,4284,141
