order_id,order_item_id,product_id,quantity,unit_price,discount_pct,freight_value,item_total
O000034,2,P0191,2,654.69,0,12.14,1321.52
O000035,1,P0242,1,722.98,0.1,25.17,675.85
O000036,1,P0052,4,782.48,0,9.73,3139.65
O000036,2,P0208,1,723.84,0.15,14.47,629.73
O000036,3,P0060,1,27.23,0,8.82,36.05
O000037,1,P0309,1,541.39,0,2.14,543.53
O000038,1,P0181,1,364.59,0,26.96,391.55
O000038,2,P0090,1,907.45,0,12.91,920.36
O000039,1,P0246,1,236.21,0,12.9,249.11
O000040,1,P0019,1,618.71,0,15.46,634.17
O000041,1,P0151,1,785.65,0.1,5.4,712.49
O000042,1,P0304,1,396.52,0,19.89,416.41
O000042,2,P0027,1,406.86,0.05,6.1,392.62
O000043,1,P0169,1,410.06,0.1,25.95,395.0
O000043,2,P0051,1,371.95,0,33.94,405.89
O000043,3,P0137,1,168.37,0,2,170.37
O000043,4,P0106,5,236.99,0.1,8.87,1075.33
O000044,1,P0107,1,435.88,0.1,21.4,413.69
O000045,1,P0065,1,492.73,0.05,8.83,476.92
O000045,2,P0294,2,73.38,0,21.18,167.94
O000045,3,P0243,2,711.65,0.1,15.57,1296.54
O000046,1,P0307,1,69.12,0,10.35,79.47
O000047,1,P0096,1,224.82,0.1,2,204.34
O000048,1,P0128,1,835.43,0,11.76,847.19
O000049,1,P0136,1,784.55,0,312.41,1096.96
O000050,1,P0233,1,84.69,0.05,15.65,96.11
O000050,2,P0060,3,27.23,0.05,9.84,87.45
O000051,1,P0315,1,174.01,0.1,21.25,177.86
O000052,1,P0197,2,756.59,0.1,18.66,1380.52
O000052,2,P0139,1,531.18,0,13.49,544.67
O000053,1,P0215,4,1003.36,0,2.09,4015.53
O000054,1,P0303,1,483.69,0,9.04,492.73
O000054,2,P0140,1,227.4,0.05,21.93,237.96
O000055,1,P0192,1,951.76,0,10.66,962.42
O000056,1,P0077,1,20.98,0,10.44,31.42
O000057,1,P0016,1,576.57,0,4.83,581.4
O000057,2,P0031,1,397.25,0.05,24.38,401.77
O000058,1,P0144,5,649.77,0,21.89,3270.74
O000058,2,P0209,4,690.43,0,18.16,2779.88
O000058,3,P0058,4,156.02,0.1,12.24,573.91
O000059,1,P0140,1,227.4,0.1,6.99,211.65
O000060,1,P0069,0,423.73,0,2,425.73
O000060,2,P0139,1,531.18,0.05,4.18,508.8
O000060,3,P0177,1,95.11,0,28.72,123.83
O000060,4,P0184,2,112.13,0.1,17.37,219.2
O000061,1,P0225,4,84.06,0.2,13.59,282.58
O000061,2,P0286,1,518.79,0,13.31,532.1
O000062,1,P0021,1,806.92,0.05,9.6,776.17
O000062,2,P0259,1,849.86,0,14.99,864.85
O000062,3,P0081,2,312.38,0.05,8.18,601.7
O000063,1,P0291,1,657.02,0,12.51,669.53
O000063,2,P0047,4,224.37,0.15,2,764.86
O000064,1,P0043,5,118.53,0,13.67,606.32
O000064,2,P0281,1,372.41,0,12.44,384.85
O000064,3,P0218,3,363.84,0.1,12.31,994.68
O000064,4,P0246,1,236.21,0,20.68,256.89
O000065,1,P0165,1,27.21,0.05,17.29,43.14
O000066,1,P0071,1,250.08,0,2.42,252.5
O000067,1,P0099,1,458.56,0.15,7.08,396.86
O000067,2,P0211,1,980.09,0.2,19.3,803.37
O000067,3,P0160,2,413.02,0,18.21,844.25
O000068,1,P0113,1,814.98,0,15.95,830.93
O000068,2,P0029,1,490.19,0,13.39,503.58
O000069,1,P0133,1,17.03,0,14.81,31.84
O000069,2,P0160,3,413.02,0.2,7.09,998.34
O000070,1,P0252,5,259.81,0,15.63,1314.68
O000071,1,P0319,2,702.73,0.15,17.98,1212.62
O000072,1,P0056,2,581.05,0,14.01,1176.11
O000073,1,P0222,1,182.56,0.1,15.18,179.48
O000073,2,P0130,1,491.43,0.05,17.28,484.14
O000074,1,P0116,1,339.23,0.05,12.13,334.4
O000075,1,P0190,1,449.88,0.05,2,429.39
O000076,1,P0032,5,577.34,0,6.33,2893.03
O000077,1,P0213,2,693.96,0,2,1389.92
O000077,2,P0024,3,832.14,0.1,23.28,2270.06
O000078,1,P0085,2,554.3,0,21.04,1129.64
O000079,1,P0080,3,194.14,0.05,19.73,573.03
O000079,2,P0067,1,355.88,0,4.66,360.54
O000080,1,P0257,1,486.52,0,2.05,488.57
O000081,1,P0183,1,808.84,0.05,23.83,792.23
O000081,2,P0034,3,293.49,0,11.85,892.32
O000082,1,P0081,1,312.38,0,11.95,324.33
O000083,1,P0244,2,316.68,0.1,6.65,576.67
O000084,1,P0080,1,194.14,0.1,2,176.73
O000085,1,P0120,1,62.98,0.1,2.26,58.94
O000086,1,P0237,1,956.17,0,2,958.17
O000087,1,P0227,2,292.14,0.1,32.2,558.05
O000087,2,P0152,1,817.49,0,21.79,839.28
O000088,1,P0106,1,236.99,0.15,19.96,221.4
O000089,1,P0265,5,240.13,0.05,12.28,1152.9
O000089,2,P0268,1,214.47,0,14.74,229.21
O000090,1,P0211,1,980.09,0,5.15,985.24
O000090,2,P0231,2,766.78,0,20.46,1554.02
O000091,1,P0053,1,360.49,0,4.48,364.97
O000092,1,P0054,2,429.08,0.2,22.59,709.12
O000093,1,P0254,2,824.63,0,2,1651.26
O000094,1,P0212,2,486.38,0,7.37,980.13
O000095,1,P0204,1,387.0,0,11.58,398.58
O000095,2,P0167,2,9.0,0.05,20.44,37.54
O000096,1,P0221,2,188.81,0,2.92,380.54
O000097,1,P0215,5,1003.36,0.1,12.95,4528.07
O000097,2,P0254,2,824.63,0,10.62,1659.88
O000098,1,P0081,1,312.38,0,22.41,334.79
O000099,1,P0018,2,598.9,0.05,11.56,1149.47
O000099,2,P0116,1,339.23,0.1,2.44,307.75
O000100,1,P0297,1,38.06,0.1,2.58,36.83
O000101,1,P0143,1,110.16,0,13.84,124.0
O000101,2,P0082,1,362.46,0,14.53,376.99
O000102,1,P0205,1,468.82,0,22.32,491.14
O000103,1,P0170,1,444.66,0,15.43,460.09
O000103,2,P0182,1,150.43,0.05,25.32,168.23
O000104,1,P0057,1,286.31,0.1,3.34,261.02
O000105,1,P0278,1,480.16,0.2,20.64,404.77
O000106,1,P0300,2,398.18,0,13.07,809.43
O000107,1,P0154,1,25.6,0.05,2,26.32
O000108,1,P0214,1,42.92,0.05,7.22,47.99
O000108,2,P0202,1,115.37,0.15,23.68,121.74
O000109,1,P0083,1,594.36,0,21.16,615.52
O000110,1,P0112,2,400.76,0.1,11.16,732.53
O000111,1,P0223,1,72.48,0,18.02,90.5
O000111,2,P0154,3,25.6,0,16.32,93.12
O000112,1,P0175,1,568.15,0.05,2,541.74
O000113,1,P0172,2,461.92,0,16.4,940.24
O000114,1,P0137,1,168.37,0.2,7.44,142.14
O000114,2,P0033,1,310.62,0,18.9,329.52
O000115,1,P0211,1,980.09,0,17.19,997.28
O000115,2,P0049,2,841.2,0,8.55,1690.95
O000115,3,P0151,4,785.65,0,2,3144.6
O000116,1,P0312,1,681.66,0,2,683.66
O000116,2,P0293,1,564.26,0,17.31,581.57
O000117,1,P0014,1,187.84,0.05,18.1,196.55
O000118,1,P0263,1,574.22,0,5.93,580.15
O000118,2,P0232,1,295.67,0.05,15.66,296.55
O000119,1,P0293,1,564.26,0,6.0,570.26
O000119,2,P0071,2,250.08,0,13.73,513.89
O000120,1,P0082,1,362.46,0,9.23,371.69
O000120,2,P0252,2,259.81,0.1,12.36,480.02
O000121,1,P0308,2,109.62,0,5.48,224.72
O000122,1,P0143,2,110.16,0.1,20.01,218.3
O000122,2,P0126,1,311.62,0.1,18.9,299.36
O000122,3,P0028,1,305.36,0.2,17.83,262.12
O000123,1,P0262,1,519.27,0,4.9,524.17
O000124,1,P0213,1,693.96,0.15,14.3,604.17
O000124,2,P0282,1,856.4,0.1,27.32,798.08
O000125,1,P0198,1,764.66,0,10.9,775.56
O000125,2,P0057,1,286.31,0.05,12.89,284.88
O000126,1,P0004,1,803.36,0.1,40.59,763.61
O000126,2,P0042,1,584.05,0,15.98,600.03
O000126,3,P0092,3,901.51,0,8.11,2712.64
O000127,1,P0158,1,130.71,0,9.32,140.03
O000128,1,P0280,1,128.6,0.1,4.02,119.76
O000128,2,P0076,1,1058.97,0,10.07,1069.04
O000128,3,P0061,1,776.86,0,4.0,780.86
O000129,1,P0090,4,907.45,0,8.24,3638.04
O000129,2,P0070,4,298.91,0.05,17.43,1153.29
O000129,3,P0026,3,659.65,0.05,17.7,1897.7
O000130,1,P0231,1,766.78,0.15,5.94,657.7
O000130,2,P0313,1,555.72,0,30.52,586.24
O000131,1,P0239,3,873.44,0,2.16,2622.48
O000132,1,P0279,1,489.87,0,5.52,495.39
O000133,1,P0219,3,553.58,0,21.59,1682.33
O000133,2,P0220,3,103.24,0.15,8.43,271.69
O000133,3,P0312,4,681.66,0.1,2.64,2456.62
O000134,1,P0149,1,858.19,0.1,9.82,782.19
O000134,2,P0004,4,803.36,0.05,17.78,3070.55
O000135,1,P0319,1,702.73,0,6.98,709.71
O000135,2,P0299,1,28.85,0,10.48,39.33
O000136,1,P0003,1,146.76,0.1,2,134.08
O000136,2,P0241,2,307.92,0.15,3.16,526.62
O000136,3,P0212,2,486.38,0.2,16.98,795.19
O000137,1,P0318,1,432.06,0,2.94,435.0
O000137,2,P0201,1,583.78,0,2,585.78
O000138,1,P0277,1,49.26,0,3.41,52.67
O000139,1,P0196,1,753.97,0,17.74,771.71
O000140,1,P0259,2,849.86,0.05,4.03,1618.76
O000141,1,P0284,1,501.64,0,4.76,506.4
O000142,1,P0143,1,110.16,0.1,3.82,102.96
O000143,1,P0216,2,823.56,0.2,2.65,1320.35
O000143,2,P0249,1,575.36,0.1,2,519.82
O000144,1,P0122,1,149.46,0,11.05,160.51
O000145,1,P0015,1,284.04,0,11.64,295.68
O000145,2,P0074,2,81.29,0.05,16.68,171.13
O000146,1,P0253,1,162.64,0,16.26,178.9
O000146,2,P0152,1,817.49,0,2,819.49
O000146,3,P0165,1,27.21,0,8.19,35.4
O000147,1,P0209,1,690.43,0,14.97,705.4
O000148,1,P0003,1,146.76,0.05,17.69,157.11
O000148,2,P0035,1,544.32,0,7.07,551.39
O000148,3,P0226,1,706.04,0,19.07,725.11
O000148,4,P0118,1,588.11,0,6.72,594.83
O000149,1,P0208,1,723.84,0,16.19,740.03
O000149,2,P0298,1,410.7,0.05,16.09,406.25
O000149,3,P0110,4,1039.88,0,2,4161.52
O000150,1,P0098,2,701.13,0,8.65,1410.91
O000151,1,P0225,1,84.06,0,16.3,100.36
O000152,1,P0109,4,194.26,0,21.66,798.7
O000153,1,P0104,4,521.9,0,27.11,2114.71
O000153,2,P0283,1,433.94,0,12.36,446.3
O000154,1,P0227,1,292.14,0.05,9.73,287.26
O000155,1,P0243,1,711.65,0,8.2,719.85
O000155,2,P0188,1,480.75,0.15,12.65,421.29
O000155,3,P0260,1,623.36,0,10.83,634.19
O000156,1,P0293,2,564.26,0.1,21.41,1037.08
O000156,2,P0249,1,575.36,0,2,577.36
O000157,1,P0196,1,753.97,0,9.92,763.89
O000158,1,P0084,3,294.21,0.1,24.28,818.65
O000158,2,P0071,1,250.08,0.15,9.83,222.4
O000159,1,P0035,1,544.32,0.05,12.76,529.86
O000159,2,P0199,2,324.1,0.05,7.32,623.11
O000159,3,P0268,1,214.47,0.15,16.98,199.28
O000160,1,P0062,1,673.39,0,8.06,681.45
O000161,1,P0268,1,214.47,0.1,6.12,199.14
O000161,2,P0205,1,468.82,0,19.25,488.07
O000162,1,P0263,1,574.22,0,25.89,600.11
O000163,1,P0126,1,311.62,0,2,313.62
O000164,1,P0222,1,182.56,0.1,6.47,170.77
O000165,1,P0105,1,18.23,0.1,13.29,29.7
O000166,1,P0129,1,104.68,0.15,29.58,118.56
O000166,2,P0139,4,531.18,0,2,2126.72
O000167,1,P0059,1,953.24,0,22.56,975.8
O000168,1,P0126,1,311.62,0,20.33,331.95
O000169,1,P0045,1,72.1,0.2,2,59.68
O000170,1,P0074,1,81.29,0,8.87,90.16
O000171,1,P0230,1,438.21,0.15,17.84,390.32
O000172,1,P0181,1,364.59,0,14.17,378.76
O000173,1,P0041,1,126.39,0.05,12.67,132.74
O000174,1,P0262,2,519.27,0,10.86,1049.4
O000174,2,P0069,1,423.73,0.1,18.32,399.68
O000175,1,P0233,1,84.69,0,5.73,90.42
O000175,2,P0024,1,832.14,0.1,15.41,764.34
O000176,1,P0184,1,112.13,0.05,2,108.52
O000176,2,P0066,1,451.94,0.1,11.54,418.29
O000176,3,P0048,1,920.6,0.2,14.38,750.86
O000177,1,P0309,2,541.39,0.05,23.9,1052.54
O000177,2,P0039,1,205.22,0,15.11,220.33
O000178,1,P0153,2,339.5,0,8.84,687.84
O000179,1,P0308,1,109.62,0,25.4,135.02
O000179,2,P0076,1,1058.97,0,8.71,1067.68
O000179,3,P0225,1,84.06,0.05,17.74,97.6
O000180,1,P0239,3,873.44,0,16.29,2636.61
O000181,1,P0083,3,594.36,0,7.83,1790.91
O000182,1,P0231,1,766.78,0.1,22.09,712.19
O000183,1,P0197,1,756.59,0.15,4.43,647.53
O000183,2,P0096,5,224.82,0,449.29,1573.39
O000184,1,P0217,1,390.23,0,11.15,401.38
O000184,2,P0284,1,501.64,0.15,6.63,433.02
O000185,1,P0197,1,756.59,0.1,9.84,690.77
O000186,1,P0281,1,372.41,0.2,14.04,311.97
O000187,1,P0073,1,139.62,0.15,12.04,130.72
O000188,1,P0134,2,574.47,0.05,3.15,1094.64
O000189,1,P0275,1,515.35,0,7.98,523.33
O000190,1,P0217,1,390.23,0,9.47,399.7
O000191,1,P0095,4,97.16,0,6.11,394.75
O000192,1,P0073,1,139.62,0.15,6.61,125.29
O000192,2,P0010,1,362.93,0.15,14.77,323.26
O000193,1,P0117,1,794.64,0,18.84,813.48
O000194,1,P0089,1,625.43,0,5.34,630.77
O000194,2,P0136,1,784.55,0.1,17.75,723.85
O000195,1,P0197,5,756.59,0,10.16,3793.11
O000196,1,P0214,1,42.92,0.1,7.87,46.5
O000196,2,P0154,1,25.6,0.15,16.43,38.19
O000196,3,P0054,3,429.08,0,9.75,1296.99
O000197,1,P0199,1,324.1,0,7.39,331.49
O000197,2,P0253,3,162.64,0.2,12.74,403.08
O000197,3,P0304,1,396.52,0,18.12,414.64
O000198,1,P0115,1,602.48,0,25.7,628.18
O000199,1,P0010,1,362.93,0,13.11,376.04
O000199,2,P0285,2,53.42,0.05,16.11,117.61
O000199,3,P0072,1,38.74,0,11.22,49.96
O000200,1,P0294,1,73.38,0.1,22.41,88.45
O000201,1,P0056,1,581.05,0,9.96,591.01
O000201,2,P0087,2,118.02,0,2,238.04
O000201,3,P0180,1,358.61,0,4.36,362.97
O000201,4,P0293,2,564.26,0,2,1130.52
O000202,1,P0145,1,247.46,0.1,10.27,232.98
O000203,1,P0207,2,469.0,0,10.35,948.35
O000203,2,P0279,2,489.87,0,10.44,990.18
O000203,3,P0017,1,237.22,0.05,32.49,257.85
O000204,1,P0045,1,72.1,0.15,12.74,74.02
O000204,2,P0254,2,824.63,0.2,8.45,1327.86
O000205,1,P0110,2,1039.88,0,2,2081.76
O000205,2,P0224,1,355.54,0,2,357.54
O000205,3,P0244,1,316.68,0.2,5.12,258.46
O000206,1,P0035,1,544.32,0,18.27,562.59
O000207,1,P0310,1,8.5,0.05,21.64,29.71
O000208,1,P0045,1,72.1,0,2,74.1
O000208,2,P0234,1,354.24,0,18.39,372.63
O000209,1,P0003,4,146.76,0.2,3.5,473.13
O000209,2,P0002,4,556.12,0.1,17.25,2019.28
O000210,1,P0080,1,194.14,0,13.08,207.22
O000211,1,P0085,1,554.3,0.1,31.64,530.51
O000211,2,P0272,1,724.17,0.75,2,653.75
O000211,3,P0304,2,396.52,0,2,795.04
O000212,1,P0285,1,53.42,0,8.42,61.84
O000213,1,P0075,1,233.38,0.05,6.9,228.61
O000213,2,P0050,1,745.53,0.15,12.84,646.54
O000214,1,P0295,3,164.98,0,2,496.94
O000215,1,P0043,1,118.53,0,19.45,137.98
O000215,2,P0205,3,468.82,0,8.29,1414.75
O000215,3,P0163,1,825.28,0,10.12,835.4
O000216,1,P0017,1,237.22,0,2,239.22
O000217,1,P0256,1,847.43,0,3.26,850.69
O000218,1,P0011,3,363.12,0,9.93,1099.29
O000219,1,P0303,3,483.69,0,9.81,1460.88
O000219,2,P0091,2,86.5,0,26.75,199.75
O000220,1,P0125,1,329.73,0.05,2.77,316.01
O000221,1,P0308,1,109.62,0.1,2.2,100.86
O000222,1,P0148,2,188.16,0,12.81,389.13
O000223,1,P0035,1,544.32,0.05,2,519.1
O000223,2,P0065,1,492.73,0.05,7.08,475.17
O000224,1,P0037,1,1028.12,0.05,20.75,997.46
O000224,2,P0071,1,250.08,0,8.67,258.75
O000225,1,P0177,1,95.11,0.05,12.04,102.39
O000226,1,P0175,3,568.15,0.15,3.11,1451.89
O000227,1,P0074,1,81.29,0.2,9.04,74.07
O000228,1,P0302,1,340.59,0,16.12,356.71
O000229,1,P0065,2,492.73,0.15,10.78,848.42
O000230,1,P0076,2,1058.97,0,2,2119.94
O000231,1,P0150,1,23.53,0,8.71,32.24
O000231,2,P0027,2,406.86,0.15,9.25,700.91
O000231,3,P0235,1,6.83,0.05,21.01,27.5
O000232,1,P0078,1,314.17,0.15,22.33,289.37
O000232,2,P0014,1,187.84,0.2,22.53,172.8
O000232,3,P0026,1,659.65,0,21.02,680.67
O000232,4,P0266,1,242.67,0,8.88,251.55
O000233,1,P0059,1,953.24,0,23.74,976.98
O000233,2,P0097,2,267.08,0.2,2,429.33
O000233,3,P0075,3,233.38,0,17.68,717.82
O000234,1,P0019,1,618.71,0,10.73,629.44
O000234,2,P0147,3,535.43,0,18.25,1624.54
O000235,1,P0057,1,286.31,0.1,7.47,265.15
O000236,1,P0265,4,240.13,0,13.49,974.01
O000237,1,P0183,1,808.84,0,31.3,840.14
O000238,1,P0240,3,237.45,0.1,16.03,657.14
O000239,1,P0197,1,756.59,0.05,28.51,747.27
O000240,1,P0242,1,722.98,0.1,2,652.68
O000240,2,P0065,2,492.73,0.2,14.42,802.79
O000240,3,P0005,1,9999.99,0.15,3.33,8503.32
O000241,1,P0149,1,858.19,0.15,19.22,748.68
O000242,1,P0313,1,555.72,0.1,4.78,504.93
O000243,1,P0101,1,92.83,0.2,17.06,91.32
O000243,2,P0235,1,6.83,0.1,12.43,18.58
O000244,1,P0169,1,410.06,0.1,19.74,388.79
O000245,1,P0257,2,486.52,0,14.19,987.23
O000246,1,P0123,2,202.44,0,2,406.88
O000247,1,P0256,1,847.43,0,20.78,868.21
O000247,2,P0066,1,451.94,0,3.82,455.76
O000247,3,P0149,1,858.19,0,25.47,883.66
O000247,4,P0002,1,556.12,0,14.05,570.17
O000248,1,P0103,1,158.36,0,10.16,168.52
O000248,2,P0007,1,306.83,0.05,2,293.49
O000249,1,P0308,2,109.62,0.05,28.9,237.18
O000250,1,P0293,3,564.26,0.2,4.47,1358.69
O000250,2,P0156,2,90.87,0.15,16.71,171.19
O000250,3,P0235,4,6.83,0.05,36.95,62.9
O000251,1,P0209,2,690.43,0,7.61,1388.47
O000252,1,P0204,1,387.0,0,5.4,392.4
O000252,2,P0083,1,594.36,0,16.68,611.04
O000253,1,P0275,1,515.35,0,5.43,520.78
O000254,1,P0199,1,324.1,0.05,5.63,313.52
O000255,1,P0158,1,130.71,0.15,10.15,121.25
O000255,2,P0270,2,949.79,0,10.45,1910.03
O000255,3,P0220,1,103.24,0.15,24.39,112.14
O000256,1,P0206,5,75.89,0,13.44,392.89
O000256,2,P0308,1,109.62,0,4.69,114.31
O000256,3,P0177,4,95.11,0.05,9.06,370.48
O000256,4,P0077,1,20.98,0,2.56,23.54
O000257,1,P0306,1,219.19,0.15,11.54,197.85
O000257,2,P0189,1,630.91,0.05,24.76,624.12
O000257,3,P0209,1,690.43,0.1,9.76,631.15
O000258,1,P0082,1,362.46,0.2,16.65,306.62
O000258,2,P0214,1,42.92,0,3.53,46.45
O000258,3,P0254,3,824.63,0.15,10.81,2113.62
O000259,1,P0017,1,237.22,0,8.1,245.32
O000260,1,P0003,1,146.76,0.15,16.01,140.76
O000261,1,P0136,2,784.55,0.05,6.04,1496.68
O000262,1,P0236,2,397.11,0,2,796.22
O000263,1,P0042,1,584.05,0,2,586.05
O000263,2,P0300,1,398.18,0.05,14.52,392.79
O000264,1,P0217,2,390.23,0.1,2.21,704.62
O000265,1,P0221,1,188.81,0.1,13.05,182.98
O000266,1,P0065,1,492.73,0.1,30.67,474.13
O000266,2,P0215,2,1003.36,0,5.62,2012.34
O000266,3,P0226,1,706.04,0,22.77,728.81
O000267,1,P0239,1,873.44,0.05,17.52,847.29
O000268,1,P0300,1,398.18,0,16.58,414.76
O000269,1,P0058,2,156.02,0,2,314.04
O000270,1,P0264,2,502.16,0,8.13,1012.45
O000271,1,P0314,1,745.22,0,22.11,767.33
O000272,1,P0036,1,67.34,0.1,24.03,84.64
O000273,1,P0275,1,515.35,0,16.07,531.42
O000274,1,P0126,1,311.62,0,2,313.62
O000274,2,P0195,1,256.53,0,12.95,269.48
O000275,1,P0054,1,429.08,0,2.6,431.68
O000275,2,P0093,1,952.7,0,21.84,974.54
O000276,1,P0257,2,486.52,0.1,16.03,891.77
O000276,2,P0213,1,693.96,0.1,12.73,637.29
O000277,1,P0148,4,188.16,0,15.89,768.53
O000277,2,P0195,2,256.53,0,2,515.06
O000278,1,P0014,2,187.84,0,6.57,382.25
O000279,1,P0177,1,95.11,0,24.8,119.91
O000280,1,P0075,1,233.38,0,15.24,248.62
O000280,2,P0297,1,38.06,0,15.37,53.43
O000280,3,P0049,5,841.2,0,26.16,4232.16
O000281,1,P0308,1,109.62,0,14.57,124.19
O000282,1,P0161,1,67.49,0,14.31,81.8
O000282,2,P0209,2,690.43,0,7.73,1388.59
O000282,3,P0125,1,329.73,0,9.21,338.94
O000283,1,P0007,1,306.83,0.2,3.77,249.23
O000283,2,P0256,1,847.43,0.2,23.63,701.57
O000284,1,P0183,2,808.84,0,13.57,1631.25
O000285,1,P0079,1,165.37,0,19.1,184.47
O000286,1,P0097,2,267.08,0,10.23,544.39
O000286,2,P0208,1,723.84,0.1,10.3,661.76
O000286,3,P0020,1,1036.19,0.1,2,934.57
O000286,4,P0063,2,310.44,0,2.48,623.36
O000287,1,P0313,1,555.72,0,19.17,574.89
O000288,1,P0151,2,785.65,0,15.3,1586.6
O000288,2,P0006,1,202.12,0.05,15.63,207.64
O000289,1,P0138,1,870.78,0.1,2,785.7
O000290,1,P0047,1,224.37,0,2,226.37
O000290,2,P0061,1,776.86,0,32.72,809.58
O000290,3,P0264,1,502.16,0,12.8,514.96
O000291,1,P0296,1,428.51,0,8.7,437.21
O000292,1,P0099,1,458.56,0,7.81,466.37
O000293,1,P0122,1,149.46,0,24.14,173.6
O000293,2,P0132,1,107.93,0,7.11,115.04
O000294,1,P0287,1,756.46,0.15,24.78,667.77
O000295,1,P0064,2,145.78,0,4.37,295.93
O000296,1,P0055,1,237.15,0.15,9.45,211.03
O000297,1,P0174,1,845.79,0.1,12.92,774.13
O000298,1,P0210,2,949.92,0,27.66,1927.5
O000298,2,P0296,2,428.51,0.1,11.55,782.87
O000299,1,P0193,2,216.15,0,15.07,447.37
O000300,1,P0073,1,139.62,0.05,9.3,141.94
O000301,1,P0027,3,406.86,0.1,13.46,1111.98
O000302,1,P0025,3,343.24,0.1,17.11,943.86
O000302,2,P0230,3,438.21,0,7.55,1322.18
O000303,1,P0258,1,81.39,0.1,4.07,77.32
O000303,2,P0172,1,461.92,0.1,25.18,440.91
O000303,3,P0071,1,250.08,0,14.3,264.38
O000304,1,P0024,2,832.14,0.1,9.24,1507.09
O000304,2,P0293,1,564.26,0,12.33,576.59
O000305,1,P0019,1,618.71,0.2,11.75,506.72
O000305,2,P0134,1,574.47,0.1,8.96,525.98
O000305,3,P0239,1,873.44,0.05,3.54,833.31
O000306,1,P0157,1,807.11,0,21.57,828.68
O000307,1,P0189,1,630.91,0.05,5.08,604.44
O000307,2,P0207,1,469.0,0,18.92,487.92
O000308,1,P0111,2,127.38,0,7.11,261.87
O000309,1,P0002,1,556.12,0,26.71,582.83
O000309,2,P0097,3,267.08,0,23.13,824.37
O000310,1,P0182,1,150.43,0,10.44,160.87
O000311,1,P0296,1,428.51,0.1,26.45,412.11
O000312,1,P0160,2,413.02,0.05,17.3,802.04
O000312,2,P0273,1,75.24,0,15.28,90.52
O000313,1,P0053,1,360.49,0,6.84,367.33
O000313,2,P0089,2,625.43,0,12.91,1263.77
